,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,c_hateful,targeted,aggresive
10,29,0HVzuoDgkkY,UCdlgAxg-OYTdAiFB-Ufw7YA,"Que pena lo de las viejas glorias socialistas (Felipe,Guerra,Leguina,Corcuera,Paco Vazquez,etc.etc.etc.)",[0. 0. 0. ... 0. 0. 0.],pena vieja gloria socialista felip guerra leguina corcuera paco vazquez,-1.0,0.012939095497131348,0.01041326578706503,0.011216724291443825
11,34,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,Este farsante no era isidoro,[0. 0. 0. ... 0. 0. 0.],farsant isidoro,-1.0,0.01454476173967123,0.012525455094873905,0.014734046533703804
12,38,0HVzuoDgkkY,UCpO__g_1rvOpcyZsDAy83dA,"Mister x,a ti no te ha hecho falta amnistía",[0. 0. 0. ... 0. 0. 0.],mister hecho falta amnist,-1.0,0.018418941646814346,0.012648509815335274,0.013234468176960945
13,39,0HVzuoDgkkY,UC9txpJobBGck4930MDlc1gw,Españoles !…..Seguid votando a Sanchinflas que en el pozo aún cabe miseria !,[0. 0. 0. ... 0. 0. 0.],espa ole seguid votando sanchinfla pozo cabe miseria,-1.0,0.041775111109018326,0.008766262792050838,0.0423828661441803
14,41,aXLB8r1t8ec,UCbOB-lW9N5rTADpmGapf2nA,"Considerando la insistente y perversa violación del Derecho por parte de tanto sátrapa, considerar: que no sólo debieran ser inhabilitados sino que, asimismo, debieran ser procesados y encarcelados por un delito continuado de alta traición al Estado entre otras concausas, el sátrapa Sánchez y demás adláteres, así como por todas sus implicaciones en las acciones tendentes a la ruptura de España, dentro del concurso de delitos que que está propiciando con los independentistas. En definitiva, son todos unos muy insensatos, mediocres e indecentes políticos. ¿Y qué decir de jueces presuntamente corruptos, Pumpido y compañía? Todo un cúmulo de auténticos despropósitos que vulneran gravemente el Estado de Derecho y niegan totalmente la Democracia en España. ¡Qué asco!",[0. 0. 0. ... 0. 0. 0.],considerando insistent perversa violaci derecho part trapa considerar debieran inhabilitado sino asimismo debieran procesado encarcelado delito continuado alta traici concausa trapa nchez tere toda implicacion accion tendent ruptura espa dentro concurso delito propiciando independentista definitiva insensato mediocr indecent tico decir juec presuntament corrupto pumpido compa mulo ntico desprop sito vulneran gravement derecho niegan totalment democracia espa asco,-1.0,0.03369883447885513,0.00962009560316801,0.027039943262934685
15,42,aXLB8r1t8ec,UCDYCT-YVrQVs3mAtTfFj0iQ,Si que recorten los fondos europeos  por qué este tipo se los gasta en chiringuitos.,[0. 0. 0. ... 0. 0. 0.],recorten fondo europeo tipo gasta chiringuito,-1.0,0.06115642189979553,0.006639061961323023,0.021810069680213928
16,43,aXLB8r1t8ec,UCHgX6zBue5Bz3EiCwWoGiKA,"La UE no tiene que sancionar a España si no al gobierno con sus sueldos por gastar el dinero en vicio, así dejarían de robarnos todos",[0. 0. 0. ... 0. 0. 0.],sancionar espa gobierno sueldo gastar dinero vicio dejar robarno,-1.0,0.06131407245993614,0.0038855820894241333,0.021448662504553795
17,46,aXLB8r1t8ec,UCI2f_8xoYYvNNnB-AAztt5A,"No tienen cordones ,mucho hablar y poco hacer ,les digo a europa lo que le dijo Netanyahu al traidor ,despues van ustedes",[0. 0. 0. ... 0. 0. 0.],cordon hablar hacer digo europa dijo netanyahu traidor despu usted,-1.0,0.0578027106821537,0.013515932485461235,0.04307428374886513
18,47,aXLB8r1t8ec,UCUIcF7xE9Inr4Tv09cLTiiQ,Europa no sera afectada.  Y esta ley puefe traer paz interna espanola,[0. 0. 0. ... 0. 0. 0.],europa sera afectada puef traer interna espanola,-1.0,0.8198099732398987,0.04374776780605316,0.3905114531517029
19,48,aXLB8r1t8ec,UC-eSTVVL2hVBq_L4oIzkCxg,"El propio día de la noche electoral se sabía que Feijóo NO podría gobernar y que Sánchez sí. Hay gente hipócrita que finje que no ha sido asi, pero por algo PSOE y Sumar celebraron y por algo a Feijoo le gritaron ""Ayuso presidenta!"".",[0. 0. 0. ... 0. 0. 0.],propio noch elector feij podr gobernar nchez gent crita finj sido psoe sumar celebraron feijoo gritaron ayuso presidenta,-1.0,0.011248367838561535,0.012216376140713692,0.01333141140639782
20,51,aXLB8r1t8ec,UCoFJG97tbsntoK7MVHE8jPA,Lo que tiene que hacer Europa es quitar y poner sanción al Sánchez y todo lo que intenta como un Dictador y a Pugdemon a la cárcel con él,[0. 0. 0. ... 0. 0. 0.],hacer europa quitar poner sanci nchez intenta dictador pugdemon rcel,-1.0,0.026548748835921288,0.01068170741200447,0.025933267548680305
21,52,aXLB8r1t8ec,UCnawvj7mxISi-6HDDJYD18A,"La amnistia consistía en olvidar todo crimen cometido contra el país? creo que para junts no, la amnistia es ""esclarecer una injusticia"" hasta ese punto llegan esas personas, personas que no les importa destruir la unidad nacional del país, con tal de seguir en el poder, personas a las que les da igual lo que pueda pasar o no en su comunidad, mientras tengan la cartera llena, personas que saben mucho de marketing y de lavar cerebros, y nuestro presidente no solo ha admitido tal cosa, si no que también se ha bajado los pantalones y ha dicho ""más por favor. Siempre me he definido como alguien liberal, pero esto es pasarse mucho. No señor Sanchez, Catalunya no es un aliado de España, Catalunya no es un socio comercial, Catalunya es España, así que su deber es defenderla contra todo malhechor o invasor vengan desde fuera o dentro de sus fronteras. Solo llegar a imaginar que Aragón se amparara en la misma logica que los Catalanes para pedir independencia, da miedo, bajo los mismos términos lo haría Navarra y El Pais Vasco con toda su razón y Asturias y Galicia, Este hombre no sabe lo que está haciendo.",[0. 0. 0. ... 0. 0. 0.],amnistia consist olvidar crimen cometido creo junt amnistia esclarec injusticia punto llegan persona persona importa destruir unidad nacion seguir poder persona igual pueda pasar comunidad mientra cartera llena persona saben market lavar cerebro president solo admitido cosa tambi bajado pantalon dicho favor siempr definido alguien liber pasars sanchez catalunya aliado espa catalunya socio comerci catalunya espa deber defenderla malhechor invasor vengan dentro frontera solo llegar imaginar arag amparara misma logica catalan pedir independencia miedo bajo mismo rmino navarra pai vasco toda asturia galicia hombr sabe haciendo,-1.0,0.2734530568122864,0.007709737401455641,0.13777703046798706
22,55,aXLB8r1t8ec,UCQ9wZjDA1SY1WqppVlaCJ6A,Eu muy flojita,[0. 0. 0. ... 0. 0. 0.],flojita,-1.0,0.1966511756181717,0.06299164891242981,0.1044086441397667
23,56,aXLB8r1t8ec,UCQ2rFf_d6_R2h0wmBM8CmjA,"Qué más dá si mientras esté el felon España perderá todo lo que tenga que perder y más todo lo que yá a perdido, España está en manos de un psicópata loco y esto revienta por propia presión",[0. 0. 0. ... 0. 0. 0.],mientra felon espa perder perder perdido espa mano psic pata loco revienta propia presi,-1.0,0.06865281611680984,0.030547630041837692,0.05324924364686012
24,58,aXLB8r1t8ec,UC6o_ckmEk87f7TiViatW11w,La anmistia que  quita esto delito lo hace la izquierda y extre izquierda que  son lo que  destruye los delitos con la anmistia eso es mal que  hace psoe y no la derecha,[0. 0. 0. ... 0. 0. 0.],anmistia quita delito hace izquierda extr izquierda destruy delito anmistia hace psoe derecha,-1.0,0.05124863609671593,0.011887120082974434,0.035328131169080734
25,59,aXLB8r1t8ec,UC6o_ckmEk87f7TiViatW11w,En el sillo esta pedro Sánchez pero el que  gobierna son las minorías de 7 escaños de separatistas y independentistas que  son minorías pues son los gobierna lo que  pide la anmistia que  la destrucción de código penal con quitar delitos  de el robo a los ciudadanos o malvesadores de los impuestos y quitar el delito de terrorismo,[0. 0. 0. ... 0. 0. 0.],sillo pedro nchez gobierna minor esca separatista independentista minor pue gobierna pide anmistia destrucci digo penal quitar delito robo ciudadano malvesador impuesto quitar delito terrorismo,-1.0,0.022986624389886856,0.007828149013221264,0.021794017404317856
26,60,ESCHnb7VfnY,UC6IjnWad6iN_lDCT968jRgg,"El peligro es Feijo , está encantado porque Galicia , la comunidad donde él.prohibio el español en las instituciones , recibirá exactamente lo que consigan Cataluña y país vasco con esta TRAICION   como se ha acordado , éste TRAIDOR acaba de pactar con Sánchez el reparto de los cargos del congreso , a él solo le mueve actuar contra VOX , es otro TRAIDOR , un globalista encantado con el rosco de la agenda 2030 , que luce con orgullo en la sopa , el peligro para España es el.",[0. 0. 0. ... 0. 0. 0.],peligro feijo encantado galicia comunidad prohibio espa institucion recibir exactament consigan catalu vasco traicion acordado traidor acaba pactar nchez reparto cargo congreso solo muev actuar traidor globalista encantado rosco agenda luce orgullo sopa peligro espa,-1.0,0.024616917595267296,0.010442867875099182,0.029957914724946022
27,61,ESCHnb7VfnY,UCfP9RCA63I2x4sl_h-OhH-g,Feijo si te vas a tomar por donde cagas tu y el boca chocho,[0. 0. 0. ... 0. 0. 0.],feijo tomar caga boca chocho,-1.0,0.034326326102018356,0.03308085352182388,0.032210446894168854
28,62,ESCHnb7VfnY,UCSLiUs926NduK53mtCdlKLg,"Nadie habla de la amnistía fiscal de Montoro ,Bárcenas,rato ect...
Q encima les dejaron seguir delinquiendo y ahora se rompe ,Aznar no seas payaso q por jugar en Azores trajiste el mayor atentado de la historia de España q dándote las de enterado ,mentiste sobre la sangre humana y así te salió ,listo q eres un listo q tienes a toda tu ejecutiva condenados por corrupcion",[0. 0. 0. ... 0. 0. 0.],nadi habla amnist fiscal montoro rcena rato encima dejaron seguir delinquiendo ahora romp aznar payaso jugar azor trajist mayor atentado historia espa ndote enterado mentist sangr humana sali listo listo toda ejecutiva condenado corrupcion,-1.0,0.022832144051790237,0.011417455971240997,0.025607071816921234
29,63,ESCHnb7VfnY,UCKfIcH6XKZ-Bs2z0f6hWWlA,"PACTOS DEL MAJESTIC, IRAK TIENE ARMAS DE DESTRUCCIÓN MASIVA, ETC",[0. 0. 0. ... 0. 0. 0.],pacto majest irak arma destrucci masiva,-1.0,0.06000344827771187,0.009356040507555008,0.03669608756899834
30,64,ESCHnb7VfnY,UCSLiUs926NduK53mtCdlKLg,"Quién lo dice peligro ha sido Aznar en este país ,mentir con 100 muertos solo por querer gobernar ,fíjate si no ha sido peligroso y además todo los de su ejecutiva han sido condenados por robar",[0. 0. 0. ... 0. 0. 0.],dice peligro sido aznar mentir muerto solo querer gobernar jate sido peligroso adem ejecutiva sido condenado robar,-1.0,0.010188567452132702,0.009362933225929737,0.012060442008078098
31,66,ESCHnb7VfnY,UCD0CTV8RO1YSgPcSiK2CUYw,Espero que vuelva Puigdemont para que haya revueltas en todo el país con un poco de Estrategia estais jodidos politicuchos cobardes. Os habeis olvidado de algo...,[0. 0. 0. ... 0. 0. 0.],espero vuelva puigdemont revuelta estrategia estai jodido politicucho cobard habei olvidado,-1.0,0.00873250886797905,0.011252653785049915,0.011858158744871616
32,67,ESCHnb7VfnY,UCzKEb3vV5gPstyJ1y_KVM2Q,SÁNCHEZ EL PRESIDENTE TRAIDOR DE ESPAÑA,[0. 0. 0. ... 0. 0. 0.],nchez president traidor espa,-1.0,0.02172062359750271,0.021718213334679604,0.03808027133345604
33,69,ESCHnb7VfnY,UCUfDLA5BhiE0G-s0F91f84A,Estos DOS Presos FEIJOO y el otro que lo acompaña......PRESOSSS......OTROS FRAUDE  CORRUPTOS,[0. 0. 0. ... 0. 0. 0.],preso feijoo acompa presosss fraud corrupto,-1.0,0.018942926079034805,0.01706761308014393,0.02864992804825306
34,70,ESCHnb7VfnY,UCg5Z8CRDpFyEx1cgJVbgbTg,"Amnistía de 1977: borrón y cuenta nueva para miles de casos de asesinatos, torturas, encarcelamientos injustos y cientos de crímenes de lesa humanidad. El PP, herederos directos del franquismo (Fraga ,ministro del régimen, fue su fundador) promovieron ese ""perdón"" para los ""vencedores"" y acojonaron a los herederos de los vencidos con la posibilidad de que o aceptaban eso o jamás habría democracia. Amnistía de la que millones de españoles se sintieron estafados fue la que se inventaron aquellos franquistas para bendecir los crímenes que ellos mismos cometieron",[0. 0. 0. ... 0. 0. 0.],amnist borr cuenta nueva mile caso asesinato tortura encarcelamiento injusto ciento mene lesa humanidad heredero directo franquismo fraga ministro gimen fundador promovieron perd vencedor acojonaron heredero vencido posibilidad aceptaban habr democracia amnist millon espa ole sintieron estafado inventaron aquello franquista bendecir mene mismo cometieron,-1.0,0.016871508210897446,0.007506139576435089,0.02104073576629162
35,71,ESCHnb7VfnY,UCykuaKNDO4ImMaRvigZmsbA,Salva patrias peperos FACHAS habéis abnistiado CORROPTOS  TERRORISTAS a LADRONES a Terra lliure delitos de sangre y el muñeco diabólico con Pujol ablando CATALAN los del GAL terroristas también APNISTIADOS y no se rompió ESPAÑA y ahora el que no sabe ni ablar Inglés y amigo de narcos porque no puede gobernar según las leyes ESPAÑOLAS entonces se rompe España que VIVA PEDRO SÁNCHEZ a y atragar 4 años más maleducados,[0. 0. 0. ... 0. 0. 0.],salva patria pepero facha abnistiado corropto terrorista ladron terra lliur delito sangr diab lico pujol ablando catalan terrorista tambi apnistiado rompi espa ahora sabe ablar ingl amigo narco pued gobernar ley espa ola entonc romp espa viva pedro nchez atragar maleducado,-1.0,0.10674037039279938,0.03473198786377907,0.13398170471191406
36,74,ESCHnb7VfnY,UCB1iKUEiKJr3RQlnXRO1Kgw,Y quien creéis que va a pagar la deuda de Cataluña? Por favor que no somos tontos . TIENE QUE HABER NUEVAS ELECCIONES YAAAA,[0. 0. 0. ... 0. 0. 0.],pagar deuda catalu favor tonto haber nueva eleccion yaaaa,-1.0,0.030204955488443375,0.005174999590963125,0.01810145005583763
37,75,ESCHnb7VfnY,UCGWZ6MkcY6BYATKfX95jT2Q,"Bonita foto el amigo del narco y el terrorista de la gerra de 
Ikak  mintiendo cuantos muertos tienes a tu espalda",[0. 0. 0. ... 0. 0. 0.],bonita foto amigo narco terrorista gerra ikak mintiendo cuanto muerto espalda,-1.0,0.08170780539512634,0.03632483631372452,0.07234348356723785
38,76,ESCHnb7VfnY,UCkf7ULDxwex06wg_GwPrnZg,"Pero tú Azna que puede decir si nos llévate ia una gerra y tú fuiste el culpable  del atentado de  Madrid  y casaste a tu hija con  todos los corructo y el dinero de todos los Espñolito para vosotros .
Conque desaparece para siempre que dais asco",[0. 0. 0. ... 0. 0. 0.],azna pued decir vate gerra culpabl atentado madrid casast hija corructo dinero olito conqu desaparec siempr dai asco,-1.0,0.01455528475344181,0.009506402537226677,0.017200028523802757
39,77,ESCHnb7VfnY,UCbuHBqEW0JdjRhIyVIl6bpQ,"Interesante libro:
Feijoo.Biografía dun farsante (non autorizada).
De Manuel Monge.",[0. 0. 0. ... 0. 0. 0.],interesant libro feijoo biograf farsant autorizada manuel mong,-1.0,0.011491009965538979,0.015641050413250923,0.015945574268698692
40,78,ESCHnb7VfnY,UCJnAgU5r3Y7AmYjPIY8u_fg,Aznar pidio perdon a los espanoles por los muertos en Iraq y la mentira del 11 m.le roncan los cojones que Este tipejo hable de democracia.ladrones El y su fea mujer en Madrid con los fondos buitres,[0. 0. 0. ... 0. 0. 0.],aznar pidio perdon espanol muerto iraq mentira roncan cojon tipejo habl democracia ladron mujer madrid fondo buitr,-1.0,0.01860658824443817,0.01325521431863308,0.024933988228440285
41,79,ESCHnb7VfnY,UC2aJkX5zb2azgqsztRl_58A,"Sí no eliminar el dictador de Irak , entonces eje de mal sería más fuerte ! Más amenaza junto irán, los terroristas extremistas , y los régimen totalitario comunista china y corea norte y rusia y de América ! 
Son enemigos mundiales !
Eso fomenta los hipócritas de la izquierda y los cobardes de verdad !",[0. 0. 0. ... 0. 0. 0.],eliminar dictador irak entonc fuert amenaza junto terrorista extremista gimen totalitario comunista china corea nort rusia rica enemigo mundial fomenta crita izquierda cobard verdad,-1.0,0.35347914695739746,0.024638349190354347,0.2857673168182373
42,83,-xFqEigRo4w,UC9vVra91gcgGWbn87pL4ATw,"Todo éste asunto de la amnistía,nos demuestra que para los políticos el pueblo español no.les importa, sólo les importa el poder lo demás en un cuento chino,lo vimos con PODEMOS, qué entraron al Congreso en bicicletas y salieron con coches de alta gama,y lo mismo en ésta legislatura y la anterior,los perdedores se unen y gobiernan,sin importarles la voluntad del pueblo español, así que ¿Todavía hay algún ignorante qué cree qué para los políticos de cualquier color les IMPORTAMOS algo?,el único idioma qué entienden son urnas VACÍAS,pero nooo el pueblo aborregado corriendo les vota y encima son tan tontos que se pelean los unos contra los otros,y los políticos viviendo a nuestra costa de PN, Saludos",[0. 0. 0. ... 0. 0. 0.],asunto amnist demuestra tico pueblo espa importa importa poder cuento chino vimo podemo entraron congreso bicicleta salieron coch alta gama mismo legislatura anterior perdedor unen gobiernan importarl voluntad pueblo espa todav ignorant cree tico cualquier color importamo nico idioma entienden urna nooo pueblo aborregado corriendo vota encima tonto pelean tico viviendo costa saludo,-1.0,0.47099989652633667,0.012923119589686394,0.19985879957675934
43,86,-xFqEigRo4w,UCvYu35J1wRZOP57ak2GkKwQ,"La ley de amnistía es una carta de autoinculpación para los independentistas y una de reconocimiento del gobierno en la que los independentistas reconocen haber cometido todo tipo de delitos, que se describen uno por uno en el articulado de la ley por el que piden la amnistía. No encuentro explicación para tanta estupidez. ¿Que duda cabe entonces de que se cometieron esos delitos? Siendo así, visto y reconido por todos, solo es esperable que dichos delitos sean juzgados. Le han hecho el trabajo a los jueces.",[0. 0. 0. ... 0. 0. 0.],amnist carta autoinculpaci independentista reconocimiento gobierno independentista reconocen haber cometido tipo delito describen articulado piden amnist encuentro explicaci tanta estupidez duda cabe entonc cometieron delito siendo visto reconido solo esper dicho delito juzgado hecho trabajo juec,-1.0,0.014284122735261917,0.005806921049952507,0.012166736647486687
44,88,-xFqEigRo4w,UCjAcrUVlbRCV26r_QCB_axw,Ya aznar listillo ya hizo cosas anticonstitucionales tira de hemeroteca y ni huelgas hubo 😂😂,[0. 0. 0. ... 0. 0. 0.],aznar listillo hizo cosa anticonstitucional tira hemeroteca huelga,-1.0,0.017467623576521873,0.015814248472452164,0.018145713955163956
45,89,-xFqEigRo4w,UCVFZ7yxA_ukWz2fQGnJV5HA,"Periodistas defendiendo al gobierno
Es flipante
La degradación del periodismo es absoluta",[0. 0. 0. ... 0. 0. 0.],periodista defendiendo gobierno flipant degradaci periodismo absoluta,-1.0,0.029257094487547874,0.023480575531721115,0.030487025156617165
46,94,-xFqEigRo4w,UCr7uORPicRYRKk9K37f8RKg,"Contraviene la igualdad ante la ley, art 14 CE, anula la tutela jurídica del Poder Judicial sobre cosa juzgada, hurta al pueblo la soberanía sobre la integridad del territorio, comete fraude electoral negando la aplicación de la amnistía aún el 23J, contraviene artículos de la UE, criminaliza a los jueces con el cacareado lawfare, que en la práctica es la clausura de la separación de Poderes... Vende lo que llama ""diálogo"" a lo que de facto son solo cesiones de una parte , y todo por 7 votos. Cuela nueva consulta indepe, condona la deuda contra el principio de solidaridad autonómica, comete fraude procesal pasando por ley ordinaria lo que requiere ley orgánica...",[0. 0. 0. ... 0. 0. 0.],contravien igualdad anula tutela dica poder judici cosa juzgada hurta pueblo soberan integridad territorio comet fraud elector negando aplicaci amnist contravien culo criminaliza juec cacareado lawfar ctica clausura separaci poder vend llama logo facto solo cesion part voto cuela nueva consulta indep condona deuda principio solidaridad auton mica comet fraud proces pasando ordinaria requier nica,-1.0,0.06731351464986801,0.016878485679626465,0.04137148708105087
47,95,-xFqEigRo4w,UC8G_iMyRXh98dwAgG8c114Q,"Que si se puede aprobar la amnistía? Solo cuando conviene a la derecha, todos los jueces franquistas, todos los altos cargos, perdonados en la supuesta transición, un golpe de estado, tejero y sus súbditos, nadie habla de ellos hoy en día, libres todos, amnistía por segunda vez! Basta ya de cuentos de la derechita cobarde!",[0. 0. 0. ... 0. 0. 0.],pued aprobar amnist solo convien derecha juec franquista alto cargo perdonado supuesta transici golp tejero bdito nadi habla libr amnist segunda basta cuento derechita cobard,-1.0,0.06834296882152557,0.018951144069433212,0.046828385442495346
48,97,-xFqEigRo4w,UCHhq_ZD3oepkUrN16XHULjQ,"PSOE, a un paso de crear una dictadura como en Venezuela. ¿Después de esta amnistía cómo vamos a decir que somos una democracia plena? Cuando se amnistían criminales para tener 4 años más de gobierno… esto da mucha vergüenza.",[0. 0. 0. ... 0. 0. 0.],psoe paso crear dictadura venezuela despu amnist vamo decir democracia plena amnist criminal tener gobierno mucha verg enza,-1.0,0.0346321240067482,0.008599511347711086,0.019000714644789696
49,100,r5FCVyuH99M,UCKm3tvp0ku0YQABYMX6SuRw,Dijeron algo sobre la anmistía fiscal pepera ?? o eso no atenta contra la igualdad,[0. 0. 0. ... 0. 0. 0.],dijeron anmist fiscal pepera atenta igualdad,-1.0,0.08230557292699814,0.04338585212826729,0.03245607763528824
50,102,r5FCVyuH99M,UC7P2WuKZvfbivN2fK5SY94w,"Se esta comportando como un furer nacista, el psoe empieza a parecerse a las juventudes hitlerianas. Da mucho miedo. Los españoles tenemos miedo a Sánchez.",[0. 0. 0. ... 0. 0. 0.],comportando furer nacista psoe empieza parecers juventud hitleriana miedo espa ole miedo nchez,-1.0,0.026010578498244286,0.009980789385735989,0.026076199486851692
51,103,r5FCVyuH99M,UCn5gECaS4ZgUBadNtRPrDNQ,Ya no quedan mas insultos ni calificativos para definir al siniestro personaje,[0. 0. 0. ... 0. 0. 0.],quedan insulto calificativo definir siniestro personaj,-1.0,0.012815735302865505,0.006983707658946514,0.011648189276456833
52,104,r5FCVyuH99M,UC6qyEJw8FqwevpiBQG_uAAw,"Pedro Sánchez has traicionado a toda España vete yaaaaaaaa, fuera de España fuera",[0. 0. 0. ... 0. 0. 0.],pedro nchez traicionado toda espa vete yaaaaaaaa espa,-1.0,0.021277522668242455,0.012458814308047295,0.02446097321808338
53,105,r5FCVyuH99M,UCHZaul7H7rcHM3Rt3sEQWwA,Quieren permitir corrupción,[0. 0. 0. ... 0. 0. 0.],quieren permitir corrupci,-1.0,0.03632752224802971,0.005402493756264448,0.01677430421113968
54,106,r5FCVyuH99M,UCqu7dyNqVSw7xBy0KbDIjkg,Sinvergüenza,[0. 0. 0. ... 0. 0. 0.],sinverg enza,-1.0,0.11934319138526917,0.03664594888687134,0.07008195668458939
55,108,r5FCVyuH99M,UCapI8PgzR9SxZeLNbj7eWwg,"Lo llevan degradando ellos,4 años, fuera ya!?!",[0. 0. 0. ... 0. 0. 0.],llevan degradando,-1.0,0.032643478363752365,0.009718485176563263,0.02410302311182022
56,110,r5FCVyuH99M,UCu9hXJqcpUw1A1VM5ArM7uQ,Sanchismo. Traición de ansia viva.,[0. 0. 0. ... 0. 0. 0.],sanchismo traici ansia viva,-1.0,0.07305481284856796,0.01973804645240307,0.04486146941781044
