,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
81,OgQigaDkZ5s,UCNZU_AlnJiJnP0pTY-7vzEg,"Tuve una cuñada colombiana que me daba vergüenza lo racista que era. Se avergonzaba hasta de sus conciudadanos.
Muy bueno cuando dices que no se puede meter a todo el mundo en el mismo saco que es algo a lo que se tiende habitualmente",[0. 0. 0. ... 0. 0. 0.],colombiana daba verg enza racista avergonzaba conciudadano bueno dice pued meter mundo mismo saco tiend habitualment,-1.0
87,OgQigaDkZ5s,UCOoIFlYI9fgDD-ITmrEwlaw,"A ver, cada pais tiene su cupo de descerebrados pero son los menos y hacen ruido pero en general si vienes de buen rollo y de buena onda como dicen ustedes no tienes problemas y son bien recibidos, los de la mala onda son los que todo el mundo rechaza",[0. 0. 0. ... 0. 0. 0.],cada pai cupo descerebrado meno hacen ruido gener vien buen rollo buena onda dicen usted problema bien recibido mala onda mundo rechaza,-1.0
90,OgQigaDkZ5s,UCjyGrrnrrb2vAhzKusfCLhA,"Tienes razón el hecho de que en España haya tanto paro hace que muchos abusen, es nuestra asignatura pendiente",[0. 0. 0. ... 0. 0. 0.],hecho espa paro hace abusen asignatura pendient,-1.0
91,OgQigaDkZ5s,UC0KUla_IiKMTjLsE_UE1v8w,"Estás en lo cierto, hay más racismo y clasismo en América que en España",[0. 0. 0. ... 0. 0. 0.],cierto racismo clasismo rica espa,-1.0
93,OgQigaDkZ5s,UCsAr8K1oh3oFS3JeRVJS0kg,"En todos los paises incluido el nuestro te vas a encontrar estupidos y gente amable y empatica,esto ahi que tomarselo de una manera natural ,sin dulficarlo .La mala suerte es dar con gente petarda ,pero no solo en España me vuelvo a repetir ,igual que en chile ,Argentina ,colombia,Mejico etc etc,Estados unidos en fin .........",[0. 0. 0. ... 0. 0. 0.],pais incluido encontrar estupido gent amabl empatica tomarselo manera natur dulficarlo mala suert gent petarda solo espa vuelvo repetir igual chile argentina colombia mejico unido,-1.0
101,dd8wyGAgbgY,UC6o_ckmEk87f7TiViatW11w,"Amigo hablamos un idioma que allí que es adoptado por todos los países que lo hablamos lo enriquece, donde algunos lugares esa palabra puede ser un insulto aunque no sea intencionado en ofendes aquel que lo oye y todos esa riqueza en expresiones o formas de hablar es por lo que le hace complicado",[0. 0. 0. ... 0. 0. 0.],amigo hablamo idioma adoptado hablamo enriquec lugar palabra pued insulto aunqu intencionado ofend aquel riqueza expresion forma hablar hace complicado,-1.0
102,dd8wyGAgbgY,UCZv56CJ4BNqiDqBeUnHNopQ,Es una pena que halla independentistas que se quieran separar de España,[0. 0. 0. ... 0. 0. 0.],pena halla independentista quieran separar espa,-1.0
106,dd8wyGAgbgY,UCVXNdjk8Bu1vVmuvNzW8i3Q,"Increíble. Qué grande eres. Muchos como tú, hacen falta en este país. Enorme eres muy grande 😍",[0. 0. 0. ... 0. 0. 0.],incr grand hacen falta enorm grand,-1.0
110,dd8wyGAgbgY,UCAKNAgPn2dTZXXf0OFHzAFA,"DICCIONARIO DEL SIGLO XXI ESPAÑOL.
Progresía = a decadencia
Política social = a compra de votos, cuyo gasto se acopla en la deuda, que paga el que recibe la ayuda multiplicada por diez.
Justicia. - la que permite que te quiten la casa y impide le corten los suministros, para que estén cómodos, y acosa y derriba al hombre hasta que mata a la mujer
Educación. –  Al niño ni tocarlo, darle libertad, que aprenda a pajearse, parece ser que antes no sabíamos, yo tengo 70 años y me la meneo desde los 5 años.
Libertad de expresión. – Puedes insultar al rey, quemar la bandera de ESPAÑA, llenar de grafitis metros y paredes y quemar mobiliario, siempre que no des un piropo a una mujer, que eso es acoso.
Machismo. -  Diferenciar dos clases machismo hombre y machismo con tetas, el primero es la imposición de un gobierno, que en su día dio a cada sexo un lugar, el segundo culpa al hombre de algo que no es culpable y lo quiere anular y ocupar su puesto. Colabora en ello, feministas lesbianas y la horda roja con todos sus falsos nombres, comunistas todos.
Juventud. -  Derecho a cometer cualquier clase de delito, sin ser juzgado, incluido el asesinato, por eso no se le pega ni castiga de niño, para que aprenda el solo a pegar y robar, ahora es normal, pegar al maestro, al médico perseguir a la policía a botellazos y reírse del país.
Emigrante. – Persona de cualquier país, que una vez dentro y aleccionado antes, busca la forma de vivir sin trabajar, cuando comprueba como son las leyes y que la cárcel es un hotel de 5 estrellas comparado con su país.
Mena. – Niño o adolescente que le explican cómo venir a ESPAÑA, donde le van a criar educar y como es menor puede robar y violar si se lo pide el cuerpo, sabiendo que no hay castigo.
Ideología. – Es aquel que piensa que un partido le va a mantener en un buen lugar social o laboral, los hay de varias clases, el ignorante tirando a tonto es socialista, vago, ladrón ocupa comunista, y los que se empeñan en defender y cuidar el país, con leyes justas con principios y una moral alta, son de derechas. Pero da igual a quien votes, los únicos que prosperan son los políticos, tu depende quien gobierne, vivirás mal o muy mal.
Mitin. – Lugar donde el político te dirá lo que quieres oír y el tonto se lo traga.
Inflación. – El impuesto de los pobres, que él mismo lo provoca, porque no es más que una demanda excesiva de un producto escaso. Que te empeñas en vivir en el centro, pues paga, que el tomate vale tres euros y lo compras mañana a cuatro euros, la gasolina sube y sigues con el coche, seguirá subiendo. Prueba cuando algo se dispare a no usarlo ni comprarlo, veras que pronto baja. ¿Quién provoca las burbujas? El pueblo, te empeñas en comprar más y más, y eso lo ve el especulador, en vez de producir más, sube el precio, para que no haya bastante y lo pagues al precio que quieren.
QUE HACER ENTONCES. – Al político exigirle que te cuide y proteja, que vaya a la cárcel si roba y que vaya el que acuse sin pruebas, porque la mayoría de las denuncias, son para desprestigiar y derribarles para ponerse ellos, no ir a mítines para que te regalen el oído, que te den el programa y si no lo cumple, echarlos, que la justicia funcione y haya un organismo que vigile y controle a los jueces, donde más delitos se cometen es por parte de los jueces.
Ellos tapan su mierda entre ellos, lo mismo que los médicos y policías, ellos también deben ser juzgados. Ningún funcionario o político de ningún tipo, será readmitido de nuevo, queda expulsado para siempre de esos puestos. No existe la ocupación es robo de vivienda, no se les echa, se les debe detener y hacerles pagar los rotos. 
No existe la violencia machista, existe la mujer que al ser maltratada lo aguanta y sigue a su lado, esperando que cambie y cambia siempre…A PEOR. Luego por fin se decide a denunciar y divorciarse y quiere el bocado del León. Y AHÍ MUERE, CON LA AYUDA DE LA JUSTICIA.
Leyes justas y castigos ejemplares, bien que el primer delito, no se sea muy duro, pero al tercero, cárcel no menos de 5 años reales y multas que hagan inviable el delito, un carterista sale de la cárcel y sigue robando, porque la multa le compensa. Un año de cárcel real y 100.000 euros de multa o 5 años más de cárcel y desaparecen. La droga existe porque el político quiere que exista, porque se ve bien al drogadicto y al punto de venta, lo mismo, multas altas que no les compense. Al emigrante trabajador bien venido, al ladrón ficha y expulsarle asegurándose de que nunca jamás volverá.
SINDICATOS VERTICALES, La escoria de los partidos, los perros de la calle, un gobierno no puede pagar a los sindicatos, así eran los de franco y al menos se protegía al trabajador. Pero UGT Y CCOO, son vulgares ladrones y vagos impenitentes que están para colocar a la familia y amigos en las empresas, ningún sindicalista ni su familia están parados. El sindicato debe ser obrero y pagado por el obrero y su labor la deben hacer fuera de las horas lectivas, cuando una empresa los tiene sin trabajar y pagados, es porque les interesa. Los salarios y las condiciones laborales son por culpa de la falta de lucha obrera, solo funcionan cuando gobierna la derecha, pero como en ESPAÑA, NO CABE UN TONTO MAS, SIEMPRE GOBIERNA LA IZQUIERDA. Y con ellos los números rojos, que hacen juego con su color.
POSDATA. – Todos tenemos las respuestas, pero la pereza y que lo hagan otros, permite que el gofo gobierne y el ladrón viva a tu costa. 
Yo viví 25 años con el dictador y engañado como saben hacerlo las izquierdas con los jóvenes, luché contra el régimen, no imaginaba que 50 años después le iba a echar de menos y desear que el u otro vuelva a poner orden y decencia donde reina la anarquía, antes yo era libre de verdad, solo tenía que ser decente y trabajador y obtenía todos los derechos, hoy los derechos se los quitan al honrado y trabajador y se los dan al delincuente o al emigrante. Y no soy xenófobo, pero creo que antes los del país y si se puede ellos también. 
SANIDAD UNIVERSAL Y FONDOS DE PENSIONES, LAS DOS ESTAFAS DE FELIPE GONZALEZ Y EL SOCIALISMO. Sanidad universal con los mismos hospitales y servicios médicos, trajeron la lista de espera que cada vez es más dilatada, si en un sistema doblas los enfermos antes debes hacer hospitales y crear más puesto, si no es más que pura propaganda, un año para un especialista, varios si te operan si te mantienes vivo. 
Plan de pensiones, propaganda del estado y de los bancos, que son los que de verdad ganan, cuando lo cobras, se incrementan como rentas y pagas un 40% con lo que se llevan todo tu ahorro y 20 años guardándolo y en dos años lo consumes.
ESTAFA TRAS ESTAFA Y NO LO VEIS Y ENCIMA LOS VOTAIS.",[0. 0. 0. ... 0. 0. 0.],diccionario siglo espa progr decadencia tica social compra voto cuyo gasto acopla deuda paga recib ayuda multiplicada diez justicia permit quiten casa impid corten suministro modo acosa derriba hombr mata mujer educaci tocarlo darl libertad aprenda pajears parec amo meneo libertad expresi pued insultar quemar bandera espa llenar grafiti metro pared quemar mobiliario siempr piropo mujer acoso machismo diferenciar clase machismo hombr machismo teta primero imposici gobierno cada sexo lugar segundo culpa hombr culpabl quier anular ocupar puesto colabora ello feminista lesbiana horda roja falso nombr comunista juventud derecho comet cualquier clase delito juzgado incluido asesinato pega castiga aprenda solo pegar robar ahora normal pegar maestro dico perseguir polic botellazo emigrant persona cualquier dentro aleccionado busca forma vivir trabajar comprueba ley rcel hotel estrella comparado mena adolescent explican venir espa criar educar menor pued robar violar pide cuerpo sabiendo castigo ideolog aquel piensa partido manten buen lugar social labor varia clase ignorant tirando tonto socialista vago ladr ocupa comunista emp defend cuidar ley justa principio moral alta derecha igual vote nico prosperan tico depend gobiern vivir mitin lugar tico quier tonto traga inflaci impuesto pobr mismo provoca demanda excesiva producto escaso emp vivir centro pue paga tomat vale tre euro compra cuatro euro gasolina sube sigu coch seguir subiendo prueba dispar usarlo comprarlo vera pronto baja provoca burbuja pueblo emp comprar especulador producir sube precio bastant pagu precio quieren hacer entonc tico exigirl cuid proteja vaya rcel roba vaya acus prueba mayor denuncia desprestigiar derribarl poners tine regalen programa cumpl echarlo justicia funcion organismo vigil control juec delito cometen part juec tapan mierda mismo dico polic tambi deben juzgado ning funcionario tico ning tipo readmitido nuevo queda expulsado siempr puesto exist ocupaci robo vivienda echa debe deten hacerl pagar roto exist violencia machista exist mujer maltratada aguanta sigu lado esperando cambi cambia siempr peor luego decid denunciar divorciars quier bocado muer ayuda justicia ley justa castigo ejemplar bien primer delito duro tercero rcel meno real multa hagan inviabl delito carterista sale rcel sigu robando multa compensa rcel real euro multa rcel desaparecen droga exist tico quier exista bien drogadicto punto venta mismo multa alta compens emigrant trabajador bien venido ladr ficha expulsarl asegur ndose nunca volver sindicato vertical escoria partido perro call gobierno pued pagar sindicato franco meno proteg trabajador ccoo vulgar ladron vago impenitent colocar familia amigo empresa ning sindicalista familia parado sindicato debe obrero pagado obrero labor deben hacer hora lectiva empresa trabajar pagado interesa salario condicion laboral culpa falta lucha obrera solo funcionan gobierna derecha espa cabe tonto siempr gobierna izquierda mero rojo hacen juego color posdata respuesta pereza hagan permit gofo gobiern ladr viva costa dictador enga saben hacerlo izquierda vene luch gimen imaginaba despu echar meno desear vuelva poner orden decencia reina anarqu libr verdad solo decent trabajador obten derecho derecho quitan honrado trabajador delincuent emigrant fobo creo pued tambi sanidad univers fondo pension estafa felip gonzalez socialismo sanidad univers mismo hospital servicio dico trajeron lista espera cada dilatada sistema dobla enfermo debe hacer hospital crear puesto pura propaganda especialista vario operan mantien vivo plan pension propaganda banco verdad ganan cobra incrementan renta paga llevan ahorro guard ndolo consum estafa tra estafa vei encima votai,-1.0
116,dd8wyGAgbgY,UCl4u71evEFBo8hFYAJRcMwg,"Este mensaje está dirigido al informante.. y el resto no se lo tomen personal.
Por que aquí se apoya más la opinión española q la extranjera.
1- si españa es tan bueno. Por que hay tantas leyes.
Debería ser al contrario .🤔. 
2-si españa es tan seguro , por que las mujeres sufren de psicosis y miedo al salir ala calle y más de noche🤔
3-por que si las pensiones están sostenidas sobre una pirámide donde el trabajador ordinario es el q las sostiene, por que tanta altives en los ancianos y pensionados.🤔
4- por qué  los españoles son tan arrogantes con gitanos, y arabes🤔
5-por que los nuevos talentos se educan en España pero ejercen sus profesiones en alemania, países bajo, Londres etc🤔
6-por que los vascos  chocan tanto con los españoles.🤔
7-por españa es el único país hispanohablante q tiene reyes y presidente y no se puede refutar al rey🤔
8-por que ocultan información judicial. Como asesinatos. Suicidios .genocidios
9-por que españa importa tecnología,  conocimientos , y solo exporta perfumes, quimicos,  textiles,
10-por los ricos de España los ortega. Pino calvo,roing alfonso.scotet.abello, hierro. Tienen sus cuentas en bancos suizos. 🏦 🤔
11-por que en pamplona los sanfemines se sacrifican toros y micro granjas 
12-por que las nuevas generaciones habla tan mal el español y utilizan anglicismo , si tuvieron a Miguel de cervantes, baltazar gracian , lope de vega etc.
13- por que el día del trabajador lo celebran los empleados en vez de que los empresarios que se la ganan todita y no  marchan, ni siquiera para agradecer la buena vida que se dan 
14-por que el fútbol esta tan sobre valorado
15-por un gran porcentaje de sitios de ocio español adora el regeton y ponen al millonario como ejemplo
Y por último para no alargarme.. por que los españoles están emigrando cada vez más a países como Alemania,  Francia, japon, entre otros.
🤔🤔 solo son preguntas cívicas 😎😅",[0. 0. 0. ... 0. 0. 0.],mensaj dirigido informant resto tomen person apoya opini espa extranjera espa bueno tanta ley deber contrario espa seguro mujer sufren psicosi miedo salir call noch pension sostenida mide trabajador ordinario sostien tanta altiv anciano pensionado espa ole arrogant gitano arab nuevo talento educan espa ejercen profesion alemania bajo londr vasco chocan espa ole espa nico hispanohablant rey president pued refutar ocultan informaci judici asesinato suicidio genocidio espa importa tecnolog conocimiento solo exporta perfum quimico textil rico espa ortega pino calvo ro alfonso scotet abello hierro cuenta banco suizo pamplona sanfemin sacrifican toro micro granja nueva generacion habla espa utilizan anglicismo miguel cervant baltazar gracian lope vega trabajador celebran empleado empresario ganan todita marchan siquiera agradec buena vida tbol valorado gran porcentaj sitio ocio espa adora regeton ponen millonario ejemplo ltimo alargarm espa ole emigrando cada alemania francia japon solo pregunta vica,-1.0
128,QFRkXyZq3s0,UC7N9MSQruCugvw05mGBREfg,"Marruecos, no es enemigo, es un país en el siempre está oscilando a España, pero ha sucedido según sus jefes de estado o reyes, el actual es más belicoso y más rico, teniendo al pueblo empobrecido, hay que recordar que a su padre lo intentaron matar en un ataque aéreo fallido, eso demuestra el descontento que había en el ejercito. Por el bien de ambos países lo mejor es estarse quietos, mientras no haya una amenaza 8mportante. Estamos por otro lado cansados de los piratas británicos y su apropiación indebida de Gibraltar",[0. 0. 0. ... 0. 0. 0.],marrueco enemigo siempr oscilando espa sucedido jefe rey actual belicoso rico pueblo empobrecido recordar padr intentaron matar ataqu fallido demuestra descontento ejercito bien ambo mejor estars quieto mientra amenaza mportant lado cansado pirata brit nico apropiaci indebida gibraltar,-1.0
132,QFRkXyZq3s0,UCpRZDO62F1dp61rk28vQMMQ,EEUU le debe su independencia a España. Fue la venganza k tubo con los ingleses x haber atacado Cartagena de indias. Sino ni en sueños se hubiesen podido independizar.,[0. 0. 0. ... 0. 0. 0.],eeuu debe independencia espa venganza tubo ingles haber atacado cartagena india sino podido independizar,-1.0
134,QFRkXyZq3s0,UCJF_bdD0D3jABbzLJuGakNg,"Algo tendrán que ver los genes en esta historia, creo:

<<El cuerpo de sus hombres está preparado para el hambre y la fatiga y su espíritu para la muerte. Todos son de una dura y rigurosa sobriedad. Prefieren la guerra a la inactividad y, si les falta un enemigo fuera, lo buscan en su propia tierra>>.

(Cneo Pompeyo Trogo, historiador galorromano, acerca de los habitantes de Hispania en el siglo I a.C.)",[0. 0. 0. ... 0. 0. 0.],tendr gene historia creo cuerpo hombr preparado hambr fatiga ritu muert dura rigurosa sobriedad prefieren guerra inactividad falta enemigo buscan propia tierra cneo pompeyo trogo historiador galorromano acerca habitant hispania siglo,-1.0
136,QFRkXyZq3s0,UC8YMib7qSUaxDxa7WUpw46w,"Marruecos no llega a la categoría de enemigo, más bien mosca Mojonera.",[0. 0. 0. ... 0. 0. 0.],marrueco llega categor enemigo bien mosca mojonera,-1.0
137,QFRkXyZq3s0,UCyBCx_YihbudmvGNZj9RyVg,Esacto estamos rodeados de nuestro peores enemigos menos Portugal,[0. 0. 0. ... 0. 0. 0.],esacto rodeado peor enemigo meno portug,-1.0
147,W3yHdmZ_rF8,UCEJCc6Umn_fy6IcnKLNwe5A,"No tratado de Tordessilhas, Portugal, só tinha direito uma perte do litoral brasileiro. Que fez Portugal? Adicionou cidades ao estado da Bahia. Fazendo com que, o mapa da Bahia, ficasse indentico ao do Brasil. Para os espanhoes, Portugal mostrava o mapa da Bahia , como sendo o do Brasil. É por isso que os dois são iguais.",[0. 0. 0. ... 0. 0. 0.],tratado tordessilha portug tinha direito pert litor brasileiro portug adicion cidad bahia fazendo mapa bahia ficass indentico brasil espanho portug mostrava mapa bahia sendo brasil isso doi iguai,-1.0
149,W3yHdmZ_rF8,UCfZvIfM7QCMML1SmTLvbyOQ,A monarquia instalada no Brasil após a independência foi o fator que impediu o Brasil se dividir em vários países.,[0. 0. 0. ... 0. 0. 0.],monarquia instalada brasil independ ncia fator impediu brasil dividir rio,-1.0
151,W3yHdmZ_rF8,UCk5nUa-IhkQsnnIbSnMM_zQ,Qué manera de manipular y tergiversar. Pero qué se puede esperar con la BBC detrás?,[0. 0. 0. ... 0. 0. 0.],manera manipular tergiversar pued esperar detr,-1.0
153,W3yHdmZ_rF8,UClWK42XQb1ULhrerFFeVHVw,"Qué TRISTE asistir a un teórico documental histórico en que se habla de ""colonias"" españolas cuando JAMÁS fueron colonias; fueron PROVINCIAS DE ULTRAMAR CON LOS MISMOS DERECHOS Y OBLIGACIONES QUE EL RESTO DE PROVINCIAS DE LA PENÍNSULA. Y si alguien lo pone en duda que visite el Archivo De Indias y allí está claramente explicado; el resto es manipulación o ignorancia. En fin... ahora os dejo porque iré a vomitar un ratito.",[0. 0. 0. ... 0. 0. 0.],trist asistir rico document hist rico habla colonia espa ola colonia provincia ultramar mismo derecho obligacion resto provincia nsula alguien pone duda visit archivo india clarament explicado resto manipulaci ignorancia ahora dejo vomitar ratito,-1.0
154,W3yHdmZ_rF8,UCA_mEcWZfpvDvCw9Q7OS7tQ,En el imperio español la esclavitud y maltrato de indios estaba penado por ley.,[0. 0. 0. ... 0. 0. 0.],imperio espa esclavitud maltrato indio penado,-1.0
166,10Bjz9AE2_4,UCk3CE_d_bfxB0COHpd1756Q,Y Gibraltar mecagontosup#madre! (es broma),[0. 0. 0. ... 0. 0. 0.],gibraltar mecagontosup madr broma,-1.0
188,Md5-ANncZpM,UCmupnubDZOBJ-SfFzYK1pZw,He flipado tia!!,[0. 0. 0. ... 0. 0. 0.],flipado,-1.0
190,Md5-ANncZpM,UCjtyHhAEfX8wSe6vhRMKc7Q,"Quiero pedir asilo humanitario en España para poder vivir y trabajar allí. Estoy todos los días en Marruecos, los servicios de inteligencia me persiguen, me amenazan y me envían mensajes para matarme.",[0. 0. 0. ... 0. 0. 0.],quiero pedir asilo humanitario espa poder vivir trabajar marrueco servicio inteligencia persiguen amenazan mensaj matarm,-1.0
193,Md5-ANncZpM,UCyqBwCB8i41Vb4lRFltpJmQ,Ceuta y melilla son maroqui ladrones,[0. 0. 0. ... 0. 0. 0.],ceuta melilla maroqui ladron,-1.0
194,Md5-ANncZpM,UCqsKO2bnAG5f-4P_33csqbw,"Muchas gracias, me encantan sus vídeos 😍",[0. 0. 0. ... 0. 0. 0.],mucha gracia encantan deo,-1.0
216,YAitsDF5yjk,UCGj9Bo0sIobojDS2xacnb0g,"Me duele decir esto pues parece que peco de prepotente y puede llegar a ofendder a alguien, incluyendo al creador de este video. España no colonizaba, y este video como en otros se utiliza con bastante frecuencia. Si he molestado u ofendido a alguien con este comentario, ruego me disculpe, esa jamás fue mi intención, y poner en la misma frase España y colonización es justamente una de las cosas que alimenta esa leyenda negra tan mal atribuida.",[0. 0. 0. ... 0. 0. 0.],duel decir pue parec peco prepotent pued llegar ofendd alguien incluyendo creador video espa colonizaba video utiliza bastant frecuencia molestado ofendido alguien comentario ruego disculp intenc poner misma frase espa colonizaci justament cosa alimenta leyenda negra atribuida,-1.0
