,Unnamed: 0,video_id,author,comment,comment_stem,vectores_tfidf,sentiment
21,21,3FFOxhBSYAs,UC4MFpsxnGINktmU_-KxmmFA,"Por reclamar pueden reclamar lo que les venga en gana, otra cosa es que tengan una base histórica real y/o que lo consigan. También reclaman las Islas Canarias (sin base alguna, solo la cercanía), todo el Sáhara Occidental (casi sin base alguna, quitando algunos documentos firmados entre algunas tribus concretas en x momento con el sultán de Marruecos, pero vamos apenas tienen base legal para reclamarlo y ahí los tienes ocupando ya casi todo el territorio) y así podemos seguir, pues tienen también litigios fronterizos con otros Estados como Mauritania y Argelia. Si entramos en ese juego de reclamar, por reclamar, España podría reclamar cerca de 20 millones de km2, la superficie de Rusia aproximadamente. P.D. Espero un vídeo similar, sobre las colonias de los EEUU, Holanda, Reino Unido, Francia y otros más, repartidos por todo el mundo (cada Estado con el respectivo vídeo sobre sus colonias). Cosa que por cierto Ceuta y Melilla no lo son, pues España no tiene colonia alguna. Un saludo.",reclamar pueden reclamar venga gana cosa base hist rica real consigan tambi reclaman isla canaria base alguna solo cercan hara occident casi base alguna quitando documento firmado tribu concreta momento sult marrueco vamo apena base legal reclamarlo ocupando casi territorio podemo seguir pue tambi litigio fronterizo mauritania argelia entramo juego reclamar reclamar espa podr reclamar cerca millon superfici rusia aproximadament espero similar colonia eeuu holanda reino unido francia repartido mundo cada respectivo colonia cosa cierto ceuta melilla pue espa colonia alguna saludo,[0. 0. 0. ... 0. 0. 0.],0.0
22,22,3FFOxhBSYAs,UCPzBFUQfcT-d2Yewue3Kd-g,Marruecos es uno de los paises mas antiguos del mundo como dices que ceuta y melilla eran españolas antes de q existiera marruecos,marrueco pais antiguo mundo dice ceuta melilla espa ola existiera marrueco,[0. 0. 0. ... 0. 0. 0.],0.0
23,23,3FFOxhBSYAs,UCbESAkTAuJFSIhWrhiLL3dw,Las dos últimas colonias en África.,ltima colonia frica,[0. 0. 0. ... 0. 0. 0.],0.0
24,24,3FFOxhBSYAs,UCZkznxpgs3-YvHKuGHWG3ag,"Ah es que Marruecos,  no es dueño de esos territorios , yo pensaba que los habían colonizado los españoles siglos atrás  a Marruecos,  entonces cabe el refrán que dice  LO QUE NO FUE EN SU AÑO , NO FUE EN  TU DAÑO MARRUECOS.",marrueco territorio pensaba colonizado espa ole siglo marrueco entonc cabe refr dice marrueco,[0. 0. 0. ... 0. 0. 0.],0.0
25,25,3FFOxhBSYAs,UCj8aIGjKH5cOoyi0VprqPbw,Somos No es árabes marroquín es barber amazigh hablamos darija árabe entonces marroquin original amazigh,rabe marroqu barber amazigh hablamo darija rabe entonc marroquin origin amazigh,[0. 0. 0. ... 0. 0. 0.],0.0
26,26,3FFOxhBSYAs,UCGx9tqxk2GYxdyFTMoFwQbQ,"Marruecos no existía cuando España adquirió Ceuta y Melilla hace 500 años, por ende no puede reclamarlos como suyos, FIN.",marrueco exist espa adquiri ceuta melilla hace end pued reclamarlo,[0. 0. 0. ... 0. 0. 0.],0.0
27,27,3FFOxhBSYAs,UChTb1FtVeaJIsebShJvghkw,"España es un país transcontinental como Rusia, Turquía, Francia y tantos otros. Ceuta y Melilla no “pertenecen” a España, son España como Soria, Ibiza o El Hierro. Los periodistas jugando con las palabras para tergiversar la historia.",espa transcontinent rusia turqu francia tanto ceuta melilla pertenecen espa espa soria ibiza hierro periodista jugando palabra tergiversar historia,[0. 0. 0. ... 0. 0. 0.],-1.0
28,28,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,"Robo con derecho, la ley de la jungla  por eso España tiene que jogar la copa de África",robo derecho jungla espa jogar copa frica,[0. 0. 0. ... 0. 0. 0.],0.0
29,29,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,Ahora tiendo dónde viene la problema de los ocupás ...de la cultura de los rateros peratas Ceuta Melilla 7:15,ahora tiendo vien problema ocup cultura ratero perata ceuta melilla,[0. 0. 0. ... 0. 0. 0.],-1.0
30,30,3FFOxhBSYAs,UCSH6sycmNLnFPm3XHF9e17g,"Migrantes no, inmigrantes. Solo migran las aves.",migrant inmigrant solo migran ave,[0. 0. 0. ... 0. 0. 0.],0.0
31,31,3FFOxhBSYAs,UCIGmrIv2ZNY98fs3Terwsvg,ceuta y melilla son dos ciudades.                      españolas 👍🇪🇦❤️ desde hace unos setecientos años 🤷‍♂️❤️🇪🇦👍,ceuta melilla ciudad espa ola hace seteciento,[0. 0. 0. ... 0. 0. 0.],0.0
32,32,3FFOxhBSYAs,UCQ2t--a1pDSnLiuROQ9X-DA,No confundir marruecos con el rif y con el sahara😂.,confundir marrueco sahara,[0. 0. 0. ... 0. 0. 0.],0.0
33,33,3FFOxhBSYAs,UCk_jPDNmD3xE25lPvSuL8ow,"Vaya antes del siglo XV y del siglo VII y verá que los que los colonialistas son los Árabes Islámicos

Además por su posición geográfica en una de las principales vías marítimas del mundo el futuro de Ceuta y Melilla no depende ni dependerá jamás de Marruecos como ha sido siempre a lo largo de la historia y por eso mismo son Españolas mal que le pese a la BBC y a los cipayos Hispanoamericanos a su servicio.",vaya siglo siglo colonialista rabe mico adem posici geogr fica principal tima mundo futuro ceuta melilla depend depend marrueco sido siempr largo historia mismo espa ola pese cipayo hispanoamericano servicio,[0. 0. 0. ... 0. 0. 0.],-1.0
34,34,3FFOxhBSYAs,UCqknzZkWvD4hmpqnEVc4PjQ,"Aprendí algo nuevo, gracias, saludos desde Chile 🇨🇱",aprend nuevo gracia saludo chile,[0. 0. 0. ... 0. 0. 0.],1.0
35,35,3FFOxhBSYAs,UCX2Ge2kfQotFtX5gP0WC1Vw,Deberian conquistar canarias esta en el sur de marruecos,deberian conquistar canaria marrueco,[0. 0. 0. ... 0. 0. 0.],0.0
36,36,3FFOxhBSYAs,UC9Du-by9TVNs3mfi4WkzhOw,"España desde la época de los romanos estaba una parte en europa y otra en África. La de África era casi igual de grande que la de la península y llegaba hasta los Montes Atlas. Eso fue así hasta final  el siglo XIX, y parte reconquistados por franco y regalados por el régimen del 78, como paso con el sahara.",espa poca romano part europa frica frica casi igual grand nsula llegaba mont atla final siglo part reconquistado franco regalado gimen paso sahara,[0. 0. 0. ... 0. 0. 0.],0.0
37,37,3FFOxhBSYAs,UCWGRx7wYhYC1S2RqFZTM5kQ,"A ver si os hacéis la misma pregunta con todas las colonias de Inglaterra, en especial me interesa Gibraltar...",misma pregunta toda colonia inglaterra especi interesa gibraltar,[0. 0. 0. ... 0. 0. 0.],0.0
38,38,3FFOxhBSYAs,UCm8OWz9JxMrhwnVA3vSFCDg,Tengamos en cuenta que la relación entre la península y Ceuta es bastante anterior a la conquista de ésta por parte de Portugal. El conde Don Julián fue parte implicada en la caída del reino visigodo a manos de los musulmanes.,cuenta relaci nsula ceuta bastant anterior conquista part portug cond juli part implicada reino visigodo mano musulman,[0. 0. 0. ... 0. 0. 0.],0.0
39,39,3FFOxhBSYAs,UCbO-TAoO9tsFn3hpc-T3ASw,"A los de las pateras que los echen a todos a todos, !!! Estamos hartos de tanto aprovechado , por que no se quedan en marruecos, que les va muy bien !!!",patera echen harto aprovechado quedan marrueco bien,[0. 0. 0. ... 0. 0. 0.],1.0
40,40,ik1H9JEL4FY,UC-on7XTs6jTT3ESosMOtAdQ,Muy buen tema. Pero no se entiende lo que dice porque se acelera y su lengua le falla. No se entiende bien.,buen tema entiend dice acelera lengua falla entiend bien,[0. 0. 0. ... 0. 0. 0.],0.0
41,41,ik1H9JEL4FY,UCvuNRPY3y43YaZvIYnpup8Q,Mi país empaña,empa,[0. 0. 0. ... 0. 0. 0.],0.0
42,42,ik1H9JEL4FY,UCNBcNNfdIpv9vWgpRumxGsA,¿ Y no se les ocurrió negociar un corredor para Llivia ?,ocurri negociar corredor llivia,[0. 0. 0. ... 0. 0. 0.],0.0
43,43,ik1H9JEL4FY,UC0NJxGPEF9hZZXXwiItopIg,😅,,[0. 0. 0. ... 0. 0. 0.],
44,44,ik1H9JEL4FY,UCURmvZTbqOJVLAgiZC61iyw,Pero cuantos territorios tiene españa en otros paises😅😅😅,cuanto territorio espa pais,[0. 0. 0. ... 0. 0. 0.],-1.0
45,45,ik1H9JEL4FY,UCU9KSE1TAoz4gJTwfwMHJCg,Si fuera por España no existirá Cataluña a sin que Llovía existe gracias a los Catalanes,espa existir catalu llov exist gracia catalan,[0. 0. 0. ... 0. 0. 0.],0.0
46,46,ik1H9JEL4FY,UCm8DdE7POPGmpety36UpBUA,Un que?,,[0. 0. 0. ... 0. 0. 0.],
47,47,ik1H9JEL4FY,UCdfJoNuI3mkx1ekBoFeHDBA,La bandera de Llivia se parece a la de Puerto Rico,bandera llivia parec puerto rico,[0. 0. 0. ... 0. 0. 0.],0.0
48,48,ik1H9JEL4FY,UCmveYasWVwRGY18BiCFL4SQ,"¡Devuélvanlo a España, rufianes!",devu lvanlo espa rufian,[0. 0. 0. ... 0. 0. 0.],-1.0
49,49,ik1H9JEL4FY,UCMeU21D66yYL_ZlI-QDU-Cg,Que mamadas mejor un bolado a ver quien se queda con ella y listo se quitan de tonterias,mamada mejor bolado queda listo quitan tonteria,[0. 0. 0. ... 0. 0. 0.],0.0
50,50,ik1H9JEL4FY,UC3H9zBiMoyWYkPPe3oahPYg,Qué loco la cantidad de guerras por territorio que hubo es Europa. Se deben odiar entre ellos,loco cantidad guerra territorio europa deben odiar,[0. 0. 0. ... 0. 0. 0.],-1.0
51,51,ik1H9JEL4FY,UCucqhhW2yOVSYPEC5FAXYFA,Esa isla es literalmente el hijo de una areja divorciada,isla literalment hijo areja divorciada,[0. 0. 0. ... 0. 0. 0.],0.0
52,52,ik1H9JEL4FY,UCEuR2VOk4dJ_CGTrLoYceGg,🌱🌿☘️🍀🇵🇪🍀☘️🌿🌱,,[0. 0. 0. ... 0. 0. 0.],
53,53,ik1H9JEL4FY,UC86cy2YtoqUvpyW-W6-SpCw,España ni existía en el 1659.,espa exist,[0. 0. 0. ... 0. 0. 0.],0.0
54,54,ik1H9JEL4FY,UCPbKvmojMHr9B8iL3kMZkZg,😮... Jdr! También le robaron territorio como a México 😢,tambi robaron territorio xico,[0. 0. 0. ... 0. 0. 0.],0.0
55,55,ik1H9JEL4FY,UC78qIDPqrVdrCEJaJw0Qrlg,Gracias a Dios que Sánchez no les a puesto el ojo sino ya los hubiera regalado a los gabachos,gracia dio nchez puesto sino regalado gabacho,[0. 0. 0. ... 0. 0. 0.],0.0
56,56,ik1H9JEL4FY,UCXPndI6UtEXNFzHf2kgejsQ,En resumen España nunca supo defender nada y siempre perdio territorios..,resumen espa nunca supo defend siempr perdio territorio,[0. 0. 0. ... 0. 0. 0.],-1.0
57,57,ik1H9JEL4FY,UCwJqc8VvHZ-pkqwhQyDbe2g,Ciudadano de la isla: oh vaya mañana soy francés XD jajaja,ciudadano isla vaya franc jajaja,[0. 0. 0. ... 0. 0. 0.],-1.0
58,58,ik1H9JEL4FY,UC1aKNSjaDd7Ddz8Pn5EFbCQ,En ese año no existía España como nación,exist espa naci,[0. 0. 0. ... 0. 0. 0.],-1.0
59,59,ik1H9JEL4FY,UCG9eGnjeazhv_tx_cqZdj0Q,"Like si apareció tu casa 🤣

👇",like apareci casa,[0. 0. 0. ... 0. 0. 0.],0.0
60,60,BUbXwUbarNI,UCvNEi37pV6ld8qf6sJGNkEw,Se te olvido alaska los primers en llegar fueron los espanoles yfundaron muchas vases como valdes malaespina Cordova inclusion veto fue fundado por los espanoles,olvido alaska primer llegar espanol yfundaron mucha vase vald malaespina cordova inclus veto fundado espanol,[0. 0. 0. ... 0. 0. 0.],-1.0
61,61,BUbXwUbarNI,UCWwTVz_MYcB0LHEcns8YafQ,"Que no lo hablen , no los quiero en mi cultura . Viva México y el idioma español.",hablen quiero cultura viva xico idioma espa,[0. 0. 0. ... 0. 0. 0.],0.0
62,62,BUbXwUbarNI,UCXwA32mB9P2Azg7BaYU_Ggw,LO IMPORTANTE ES QUE BRASIL NO DEBERIA ESTAR EXISTIR,important brasil deberia existir,[0. 0. 0. ... 0. 0. 0.],0.0
63,63,BUbXwUbarNI,UCYpKumaJqmpa39wMIJAPSgQ,"En Sudamérica ya nadie habla español, todos hablan un extraño dialecto sin sentido, especialmente los chilenos y argentinos. 😔😔😔",sudam rica nadi habla espa hablan extra dialecto especialment chileno argentino,[0. 0. 0. ... 0. 0. 0.],0.0
64,64,BUbXwUbarNI,UCtK6Jz05o1hKouYvXY_bECw,"Buenas tarde , con el respeto y admiración que se merecen los que hacen esta publicaciones recuerdo a los investigadores de esta pagina que la isla La Española en la actualidad y desde inicio del siglo xix ha estado dividida en lo que es la Republica de Haití y la Republica Dominicana no un solo pais como lo mencionan el documental Fueron territorios de ESPAÑA pero YA NO hablan español. Hago el comentario como una forma de contribuir a que las informaciones sean puesta correctamente puesto que lo ven  y lo escuchan un sin numero de personas de todos los niveles de conocimientos",buena tard respeto admiraci merecen hacen publicacion recuerdo investigador pagina isla espa actualidad inicio siglo dividida republica hait republica dominicana solo pai mencionan document territorio espa hablan espa hago comentario forma contribuir informacion puesta correctament puesto escuchan numero persona nivel conocimiento,[0. 0. 0. ... 0. 0. 0.],0.0
65,65,BUbXwUbarNI,UCmqnkNTrtD6rqEcs83c1Qig,"Hay que aclarar que esos territorios fueron apropiados por la corona española, y no por los súbditos, que  son sólo eso...súbditos.",aclarar territorio apropiado corona espa bdito bdito,[0. 0. 0. ... 0. 0. 0.],0.0
66,66,BUbXwUbarNI,UCtgt-mq1EbTSkQdcAYV5Qbw,Desconocia esa historia. gracias por traermela,desconocia historia gracia traermela,[0. 0. 0. ... 0. 0. 0.],0.0
67,67,BUbXwUbarNI,UChz4H8vZyNqOreNY27Qz_Xg,falta Sidi Ifni,falta sidi ifni,[0. 0. 0. ... 0. 0. 0.],0.0
68,68,BUbXwUbarNI,UCbUo8x24v429hWgIpvTzgkA,"BUENAS TARDES

Hay un uso erroneo de las banderas en el video, no solo de la española, sino de la inglesa/britanica (que no es lo mismo), la francesa y la estadounidense.

Al usar la bandera española, usa la bandera de la Cruz de Borgoña Imperial en casos que tendría que usar la badera rojigualda🇪🇦, en uso desde el reinado de Carlos III, por el año de los hechos históricos, como cuando habla de la venta de las islas de Oceania a Alemania, la perdida de territorios en la guerra 🇪🇦hispano-norteamericana🇺🇲, o la perdida de Haiti ante Francia (también aquí pone la bandera tricolor🇫🇷 tras la revolución francesa cuando deberia poner la bandera de los borbones blanca con flores de lis azules)

Hay también errores en la bandera usada por Inglaterra/Gran Bretaña, antes del Reino Unido, que no pasó de ser la bandera de la Cruz de San Jorge en rojo sobre fondo blanco🏴󠁧󠁢󠁥󠁮󠁧󠁿 a ser la unión de las banderas de Inglaterra, Escocia e Irlanda en epoca de la dinastia inglesa de los Hannover, aproximadamente poco antes del establecimiento de las 13 colonías americanas y de la revolución americana contra Gran Bretaña, como entonces se denominaba, no el Reino Unido, con el Acta de la Union Jack, primero sin el Aspa de la Cruz de San Andrés, ésta incluida posteriormente cuando se formó el Reino Unido de Gran Bretaña e Irlanda (🏴󠁧󠁢󠁥󠁮󠁧󠁿+🏴󠁧󠁢󠁳󠁣󠁴󠁿+🇯🇪=🇬🇧), y que tras la independencia de la República Libre de Irlanda (Eire), su nombre pasó a ser Reino Unido de Gran Bretaña e Irlanda del norte, no habiendo cambios en la bandera y conservando la Cruz de San Andrés en su bandera🇬🇧.

La bandera de la antigua Alemania en esa época está bien usada.

Y a la de EE.UU. hay que quitarle estrellas en cada momento histórico 🇺🇲-⭐️-⭐️-⭐️-⭐️-⭐️... 😉

En internet hay suficientes imagenes de banderas para que hubiesen sido utilizadas correctamente, salvo que estos hechos los ignorase... 🤔📖📚

Después, mencionar tambien que faltan muchos, muchos territorios y paises donde se habló español y donde actualmente o no se habla o su uso es residual.

Como muchos han señalado, hay dos casos muy graves al no haber sido mencionados, aunque hay otros muchos: Filipinas y el Sahara Occidental.

Si requiere asesoramiento al hacer sus vídeos, puede preguntarme. Encantado de poderle ayudar.

UN SALUDO",buena tard erroneo bandera video solo espa sino inglesa britanica mismo francesa estadounidens usar bandera espa bandera cruz borgo imperi caso tendr usar badera rojigualda reinado carlo hecho hist rico habla venta isla oceania alemania perdida territorio guerra hispano norteamericana perdida haiti francia tambi pone bandera tricolor tra revoluci francesa deberia poner bandera borbon blanca flore azul tambi error bandera usada inglaterra gran breta reino unido bandera cruz jorg rojo fondo blanco bandera inglaterra escocia irlanda epoca dinastia inglesa hannov aproximadament establecimiento colon americana revoluci americana gran breta entonc denominaba reino unido acta union jack primero aspa cruz andr incluida posteriorment form reino unido gran breta irlanda tra independencia blica libr irlanda eir nombr reino unido gran breta irlanda nort cambio bandera conservando cruz andr bandera bandera antigua alemania poca bien usada quitarl estrella cada momento hist rico internet suficient imagen bandera sido utilizada correctament salvo hecho ignoras despu mencionar tambien faltan territorio pais habl espa actualment habla residu alado caso grave haber sido mencionado aunqu filipina sahara occident requier asesoramiento hacer deo pued preguntarm encantado poderl ayudar saludo,[0. 0. 0. ... 0. 0. 0.],0.0
69,69,BUbXwUbarNI,UCYqTEZ1EtVkOfBCHyc79ZmQ,"No importa que ya no sea asi, buena suerte para esos paises que de seguro se sienten bien hablando otro idioma como por ejemplo Filipina y Jamaica! El idioma español deberia solo hablarse en España. España no merece mas que eso y bien fuera que  los paises donde hablan castellano hablaran ingles, frances, holandes o aleman.  De poco sirve para  España que otros paises hablen esa lengua y lo poco que ellos saben es criticar y sentir que creen que hablan mejor que los demas cuando ellos mismos muestran mucha ignorancia.",importa buena suert pais seguro sienten bien hablando idioma ejemplo filipina jamaica idioma espa deberia solo hablars espa espa merec bien pais hablan castellano hablaran ingl franc holand aleman sirv espa pais hablen lengua saben criticar sentir creen hablan mejor dema mismo muestran mucha ignorancia,[0. 0. 0. ... 0. 0. 0.],0.0
70,70,BUbXwUbarNI,UCcjfaUfHLhuxXTVjFxqsCMA,"Muy interesante, pero te falto las Islas Virgenes de U S A , aunque en una de ellas Santa Cruz hoy día se usa mucho el español",interesant falto isla virgen aunqu santa cruz espa,[0. 0. 0. ... 0. 0. 0.],1.0
71,71,BUbXwUbarNI,UCLrtqbwDHDMtQmwdbgWEEMQ,Faltó mencionar a Trinidad y Tobago.,falt mencionar trinidad tobago,[0. 0. 0. ... 0. 0. 0.],0.0
72,72,BUbXwUbarNI,UCTAJ1YSoFs__MdztxeJVmEw,"Usted tiene una especie de arroz con mango en sus datos, lo primero es que la isla La Hispaniola, no es actualmente Haití, está dividida en dos países, Republica Dominicana y Haití, segundo, el fuerte de la navidad no se construyó en lo que hoy es Haití, fue construido en la provincia que hoy se llama Montecristi, actual Republica Dominicana...

Decirle en adición que la región de flandes fue posesión española por muchisimos años, y no se habla español como idioma nativo ni en Bélgica, y mucho menos en Holanda.
Que las regiones de Sicilia y Naooles en el sur de Italia fueron territorio de la corona española desde el siglo 13 y hasta la revolución francesa, y tampoco se habla español en esos lugares.

Saludos",ust especi arroz mango dato primero isla hispaniola actualment hait dividida republica dominicana hait segundo fuert navidad construy hait construido provincia llama montecristi actual republica dominicana decirl adici regi fland posesi espa muchisimo habla espa idioma nativo lgica meno holanda region sicilia naool italia territorio corona espa siglo revoluci francesa tampoco habla espa lugar saludo,[0. 0. 0. ... 0. 0. 0.],0.0
73,73,BUbXwUbarNI,UCxSgOn-ObWCH-ZYbLA5CzKw,🦁en Filipinas enseñaron el inglés a vase a ostias estaba prohibido el español,filipina ens aron ingl vase ostia prohibido espa,[0. 0. 0. ... 0. 0. 0.],-1.0
74,74,BUbXwUbarNI,UC5ds8_hAkXopweLR4DA20Ew,Genocidio japonés y anglo de EEUU de hispanos en Filipinas y en el resto de islas los anglos.,genocidio japon anglo eeuu hispano filipina resto isla anglo,[0. 0. 0. ... 0. 0. 0.],0.0
75,75,BUbXwUbarNI,UCosxxRsOASXHYYzAcy6tL5Q,Confundes la expansión territorial con la expansión lingüística... A kos españoles no les interesó expandir su idioma entre los indigenas... La expansión proviene de los gobiernos independentistas formados poe criollos... Sin criollos españoles no hay idioma español en ningún territorio...,confund expansi territori expansi ling stica espa ole inter expandir idioma indigena expansi provien gobierno independentista formado criollo criollo espa ole idioma espa ning territorio,[0. 0. 0. ... 0. 0. 0.],0.0
76,76,BUbXwUbarNI,UC40BPNbV_SuJzTF2bRIFn1A,"También España fundó 2 asentamientos, que aún existen, en Alaska ....Córdova y Valdez....ya que te acordaste de Nutka,también éstos se podrían incluir....!!!😉😉😉",tambi espa fund asentamiento existen alaska rdova valdez acordast nutka tambi sto podr incluir,[0. 0. 0. ... 0. 0. 0.],0.0
