,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggressive
59,IZbP5jBOcEU,UChMBi9F2sWknG3U_iczv97Q,But mexico supero a australia recientemente y ya es la 14 mas grande del mundo 🌎 🤡 ajaja nunca van a hablar bien de nosotros,[0. 0. 0. ... 0. 0. 0.],mexico supero australia recientement grand mundo ajaja nunca hablar bien,-1,0.027928516268730164,0.005327263381332159,0.01593073643743992
61,OcP7DoOU8NQ,UCIGmrIv2ZNY98fs3Terwsvg,YO PIENSO QUE MIENTRAS QUE LA UNION EUROPEA NO MEJORE EL SISTEMA 💰 LA ECONOMIA ESPAÑOLA SUVIRA MUY LENTA 👎🇪🇦🤷‍♂️🌍💰👎🇪🇦🤷‍♂️🌍💰👎,[0. 0. 0. ... 0. 0. 0.],pienso mientra union europea mejor sistema economia espa suvira lenta,-1,0.29359686374664307,0.017192695289850235,0.09372744709253311
62,OcP7DoOU8NQ,UCIGmrIv2ZNY98fs3Terwsvg,MIENTRAS QUE LOS EMIGRANTES NO QUIERAN LO SUFICIENTE APORTAR 🤷‍♂️🌍💰🇪🇦 LA ECONOMIA 🤷‍♂️🌍💰👎🇪🇦 HIRA FATAL 🤷‍♂️🌍💰👎🇪🇦💰🇪🇦👎🤷‍♂️🌍,[0. 0. 0. ... 0. 0. 0.],mientra emigrant quieran suficient aportar economia hira fatal,-1,0.19528470933437347,0.012052450329065323,0.090977244079113
63,OcP7DoOU8NQ,UC-FpCp659dqeeLw6xLr4GhA,Sánchez el mejor gobierno de España hobier bb a para los ciudadanos no para axjirir poder lo demuestra a diario pero ay mucho odio esparcido por la campaña mezkins del plan confundido Alós ciudadanos menudoa picia a preparado en vtidis ayuntamientos tenie bb do más votos el pesoe jenprisa se a dado el remate i la estocada estre mm adura je sa BC ravelka después de mi entir nomla creo nada como yo de l el PP ke callada la gamarra no habla de lanpuciacde freijo de  como miente este hombre,[0. 0. 0. ... 0. 0. 0.],nchez mejor gobierno espa hobier ciudadano axjirir poder demuestra diario odio esparcido campa mezkin plan confundido ciudadano menudoa picia preparado vtidi ayuntamiento teni voto peso jenprisa dado remat estocada estr adura ravelka despu entir nomla creo callada gamarra habla lanpuciacd freijo mient hombr,-1,0.028807450085878372,0.016313156113028526,0.027449438348412514
64,OcP7DoOU8NQ,UC-FpCp659dqeeLw6xLr4GhA,Lo van a arruinsr si gobierna el PP donde están no crece la hierba,[0. 0. 0. ... 0. 0. 0.],arruinsr gobierna crece hierba,-1,0.08961810916662216,0.017420049756765366,0.03577784076333046
65,OcP7DoOU8NQ,UC-FpCp659dqeeLw6xLr4GhA,Nacharon no digas como si fuera a ga bb ar el PP lo destrozará todo con lo ke an trabajado Sánchez tiene kexseguir pirjeced el mejor de la democracia freijo ya vimos lo ke hizo en su tierra anda ya i como miente donde dice digo dice diego,[0. 0. 0. ... 0. 0. 0.],nacharon diga destrozar trabajado nchez kexseguir pirjec mejor democracia freijo vimo hizo tierra anda mient dice digo dice diego,-1,0.01769375056028366,0.011016733944416046,0.013885542750358582
68,OcP7DoOU8NQ,UCu9p8s_XkpU_vzJCrPaMxJg,buen país le dejara al pp. a ver que escusa saca para bajar los salarios y facilitar los despidos,[0. 0. 0. ... 0. 0. 0.],buen dejara escusa saca bajar salario facilitar despido,-1,0.030866017565131187,0.009310465306043625,0.019028279930353165
70,OcP7DoOU8NQ,UCFfQGweTZmCJLHenwKfkOYQ,Pues asi es. A pesar de tantos fachas negacionistas como hay por aqui,[0. 0. 0. ... 0. 0. 0.],pue pesar tanto facha negacionista aqui,-1,0.6930376291275024,0.2335319072008133,0.453338086605072
71,OcP7DoOU8NQ,UCXA8DSj-ptyBpeM5bAQpSYA,Todo Falso. Y  debiendo casi 2 billones de euros a Europa. Como falsea los datos. Somos el país más endeudado del MUNDO A VASE DE CREDITO....,[0. 0. 0. ... 0. 0. 0.],falso debiendo casi billon euro europa falsea dato endeudado mundo vase credito,-1,0.18155324459075928,0.01515200361609459,0.06339971721172333
78,OcP7DoOU8NQ,UCGDsvgyElQO7bBdhz6Xt15Q,El países de Europa uropa que más crece...disfrutad mientras no gobierne la derecha y acabe con todo,[0. 0. 0. ... 0. 0. 0.],europa uropa crece disfrutad mientra gobiern derecha acab,-1,0.16833093762397766,0.004366484936326742,0.07748949527740479
79,OcP7DoOU8NQ,UCPAAweFLordqUM59tqpQ7YA,"Traduzco: Cuando un país sale a decir que su economía es la mejor de Europa, en realidad quiere decir que es la peor economía y no está creciendo 😂",[0. 0. 0. ... 0. 0. 0.],traduzco sale decir econom mejor europa realidad quier decir peor econom creciendo,-1,0.17090734839439392,0.007009557913988829,0.04647139459848404
82,dRewm-wvNRU,UCnIA-B7_e8kiYRwiGG9CGEw,"Em otras palabras, el plan de Milei es convertir a Argentina em la mascota de EUA 😂.

Va aterminar dañamdo la economía al hacerla dependiente de otro pais que los ande arrastrando como muñeca de trapo 🤭",[0. 0. 0. ... 0. 0. 0.],palabra plan milei convertir argentina mascota aterminar amdo econom hacerla dependient pai and arrastrando trapo,-1,0.09652159363031387,0.011097285896539688,0.042853400111198425
86,dRewm-wvNRU,UCAHFIk__ikhrxyxcxN7km-Q,???? Sin endeudar???? Ya estamos endeudados hasta las pelotas,[0. 0. 0. ... 0. 0. 0.],endeudar endeudado pelota,-1,0.04296603053808212,0.010493328794836998,0.025866976007819176
89,dRewm-wvNRU,UCUdla7zczcOTIrJS9s_jSEQ,Aumenten las exportaciones.... y dejen aperturar nuevas empresas extranjera....  es así de simple... ya dejen de complicarlo...,[0. 0. 0. ... 0. 0. 0.],aumenten exportacion dejen aperturar nueva empresa extranjera simpl dejen complicarlo,-1,0.5546455979347229,0.0093751922249794,0.1795738786458969
90,dRewm-wvNRU,UCa3FDS6Eoa4AyWG9nix91Zg,Pase lo que pase al fin el que paga las consecuencias es el pueblo se los dice un mexicano hemos tenido presidentes que venden patrias viven en países desarrollados y solo ellos se enriquecen de México para Argentina de les desea lo mejor,[0. 0. 0. ... 0. 0. 0.],pase pase paga consecuencia pueblo dice mexicano president venden patria viven desarrollado solo enriquecen xico argentina desea mejor,-1,0.06210982799530029,0.0043239900842309,0.02934902161359787
91,dRewm-wvNRU,UCJAEZ9QUwyE0q4f_mcoP5kw,"dolarizar es la ultima opcion , por que eso es aceptar que la clase politica y gobernantes son ineptos totales",[0. 0. 0. ... 0. 0. 0.],dolarizar ultima opcion aceptar clase politica gobernant inepto total,-1,0.046250563114881516,0.011258650571107864,0.0270452369004488
94,dRewm-wvNRU,UCnNqy2GcTBWfTgp-QU4tStQ,"Si observan el sesgo de DW: Reseñan el actual desastre de Argentina, pero jamás de los jamáses, señalan la verdadera causa:  EL COMUNISMO (usando su difraz más exitoso: el socialismo).

Dan vueltas y vueltas a la información hasta que logran convertirla en una burda propaganda comunista, pero...............................................................",[0. 0. 0. ... 0. 0. 0.],observan sesgo rese actual desastr argentina alan verdadera causa comunismo usando difraz exitoso socialismo vuelta vuelta informaci logran convertirla burda propaganda comunista,-1,0.0753607377409935,0.016598671674728394,0.04601491615176201
100,Ql6Ks3sL1H8,UCHddKFiFMA1yW32y8HhUyJQ,"Esta terrible la situación argentina , cada vez va a estar peor, es una caída sin freno y a toda velocidad",[0. 0. 0. ... 0. 0. 0.],terribl situaci argentina cada peor freno toda velocidad,-1,0.06567082554101944,0.005134045146405697,0.024482961744070053
103,Ql6Ks3sL1H8,UCaPByz3d27y5a6fCdI7-rUA,"Simple , abandonar la ideología ruso marxista y dejar de controlar la economía.dejar de subir los impuestos robando a los comerciantes si como dejar de dar dinero para matar Niños y Niñas no natos...",[0. 0. 0. ... 0. 0. 0.],simpl abandonar ideolog ruso marxista dejar controlar econom dejar subir impuesto robando comerciant dejar dinero matar nato,-1,0.4903830289840698,0.017611993476748466,0.2591509521007538
107,Ql6Ks3sL1H8,UCZvJI2q2XXajIAs_zKIj4sg,"Argentina debería hacer muchas cosas para salir de su pobreza, pero hay algunas que ni siquiera Milei se plantea y que son imprescindibles. Una el dejar de ser tan insufribles y de creerse lo que ni son ni nunca fueron. Dos el no reírse de los demás creyendo que son muy vivos y mentir y no cumplir lo escrito, el pagar todo lo que deben a medio mundo, por ejemplo.
Argentina tiene unos muy graves problemas que empiezan por creerse lo que no son. Arreglando eso lo demás viene solo, pero pedir a un argentino dejar la soberbia es como pedirle a un perro que deje de ladrar.",[0. 0. 0. ... 0. 0. 0.],argentina deber hacer mucha cosa salir pobreza siquiera milei plantea imprescind dejar insufr creers nunca creyendo vivo mentir cumplir escrito pagar deben medio mundo ejemplo argentina grave problema empiezan creers arreglando vien solo pedir argentino dejar soberbia pedirl perro deje ladrar,-1,0.15970641374588013,0.007225210778415203,0.06961678713560104
108,Ql6Ks3sL1H8,UCLHYAJ0txSjZinIt_HddU8A,Como en el salvador el problema son las maras... en argentina el gran problema que esta hundiendo al país es la corrupción de los políticos.,[0. 0. 0. ... 0. 0. 0.],salvador problema mara argentina gran problema hundiendo corrupci tico,-1,0.09072325378656387,0.007358744740486145,0.040427591651678085
111,Ql6Ks3sL1H8,UCmnhM4zuLq8i4TjTc4XRTTg,"Nooo.... Insensatos!!. Papá USA te escucha y si te quejas... de ""democratiza"" y te manda a los Chicago Boys.",[0. 0. 0. ... 0. 0. 0.],nooo insensato escucha queja democratiza manda chicago boy,-1,0.02382165752351284,0.014070279896259308,0.016865529119968414
112,Ql6Ks3sL1H8,UCK5NxazYhtFicVzIhXmNXjA,"Somos la orquesta del Titanic 😂😅😂...a toda 🌊🌊🌊🌊 Marcha!!!!!*
Los políticos Gastando el champagne ❤😂🎉a cuenta.... Qué los bolu..s..❤😂🎉😅 Nosotros él pueblo.. pagaremos 😂🎉😅
Riesgo país..2700 puntos ❤😂 hasta la vista bb😅😅😅😅😅",[0. 0. 0. ... 0. 0. 0.],orquesta titan toda marcha tico gastando champagn cuenta bolu pueblo pagaremo riesgo punto vista,-1,0.0773543268442154,0.008420801721513271,0.025502236559987068
114,Ql6Ks3sL1H8,UC4KysUqQCfCoIrPN_izGRqw,Mientras esté este gobierno una caterva de tránsfugas y delincuentes nada va a cambiar!desde argentina,[0. 0. 0. ... 0. 0. 0.],mientra gobierno caterva nsfuga delincuent cambiar argentina,-1,0.2752416133880615,0.020929081365466118,0.18749405443668365
116,Ql6Ks3sL1H8,UCTq_zAD2Z1pHVp41eQFw_5A,La bobadita de Javier milei,[0. 0. 0. ... 0. 0. 0.],bobadita javier milei,-1,0.053121067583560944,0.06504979729652405,0.03935212641954422
117,Ql6Ks3sL1H8,UC5aJfaAq0Dp2FXa6tVVsKzw,"Lo q dice esa señorita ya lo hizo menem delarua macri y mire como termino el pais.siempre en crisis q cuesta mucho salir. 
Se pensará q la gente no tiene memoria
Derecha neoliberal entreguista en Argentina nunca mas",[0. 0. 0. ... 0. 0. 0.],dice orita hizo menem delarua macri mire termino pai siempr crisi cuesta salir pensar gent memoria derecha neoliber entreguista argentina nunca,-1,0.058285970240831375,0.013763547874987125,0.03795207291841507
129,JLGAyU3dy2E,UCET5qQ1QMISZyHXNALdgQAQ,"Una Empresa Inventa Su Empresa, Una Para Recursos Humanos, Otra Producción Otra Para Ventas.
A si Invaden Impuestos.
La Mayoria De Las Em Presas Invaden Impuestos.
Por Eso Hay Tantos Narcos No Quieren Trabajar. Los Jóvenes de Hoy Quieren el Dinero Rápido, Por qué Las Empresas No Los Ayudan.
Roban A Los Jóvenes Amenazados Para trabajar Para El Narco y Los Amenazan.
El Gobierno Es Igualmente O Te Corrompes o Matamos a Tu Familia.",[0. 0. 0. ... 0. 0. 0.],empresa inventa empresa recurso humano producci venta invaden impuesto mayoria presa invaden impuesto tanto narco quieren trabajar vene quieren dinero pido empresa ayudan roban vene amenazado trabajar narco amenazan gobierno igualment corromp matamo familia,-1,0.3598955571651459,0.00627389969304204,0.11560013890266418
130,JLGAyU3dy2E,UCET5qQ1QMISZyHXNALdgQAQ,"Inventaron Leyes Fiscales Para , Qué Las Empresas Evadan Impuestos.",[0. 0. 0. ... 0. 0. 0.],inventaron ley fiscal empresa evadan impuesto,-1,0.03648844361305237,0.006661956664174795,0.013475392013788223
131,JLGAyU3dy2E,UCET5qQ1QMISZyHXNALdgQAQ,"Le Quitaron Muchas Prestaciones A Los Trabajadores.
Hicieron Sus Leyes A Convenencia.
Ahora Por Contratos.",[0. 0. 0. ... 0. 0. 0.],quitaron mucha prestacion trabajador hicieron ley convenencia ahora contrato,-1,0.04935726150870323,0.008318653330206871,0.020695025101304054
132,JLGAyU3dy2E,UCET5qQ1QMISZyHXNALdgQAQ,"Cuando Vieron Mi Escula Traidora Qué Iva Llegar A Termino De Mi Carrera Me Truncaron.
Todos Los Líderes Sindicales Corrieron A Muchos Trabajadores Obreros Sindicales.
Incluyendo A Mi Padre.
Tuve Qué Salir De La Escuela Para Mi Mantener A Mis Padres Y Hermanos.
Les Di Prioridad A Ellos Que Eran Hombres.",[0. 0. 0. ... 0. 0. 0.],vieron escula traidora llegar termino carrera truncaron dere sindical corrieron trabajador obrero sindical incluyendo padr salir escuela manten padr hermano prioridad hombr,-1,0.555220901966095,0.044516608119010925,0.34621527791023254
141,WSixY4rBDBA,UC22vqKjytVVorPc5Va3RAMw,"Yo no soy más que un don nadie que escucha vuestros análisis, no tengo ningún tipo de estudio o conocimiento más allá de algo de mecánica y carpintería. Pero no hace falta más que observar el entorno para ver que la economía española no puede ir bien, viendo que nadie quiere trabajar, faltan profesionales en todos los gremios, los trabajos se hacen sin ganas y medio mal, hay millones de personas que viven de subvenciones, endeudadas, más funcionarios que autónomos, etc. Esto no puede funcionar, y se lo he oído decir a una persona que trabaja en el sector público. Tarde o tempreno algunos tendrán que sufrir, aunque sea porque no haya un mecánico decente que te repare el maldito coche moderno lleno de sensores para el que ni siquiera hay recambios. No oís lo que se dice en los gremios? Poned la oreja…",[0. 0. 0. ... 0. 0. 0.],nadi escucha lisi ning tipo estudio conocimiento nica carpint hace falta observar entorno econom espa pued bien viendo nadi quier trabajar faltan profesional gremio trabajo hacen gana medio millon persona viven subvencion endeudada funcionario nomo pued funcionar decir persona trabaja sector blico tard tempreno tendr sufrir aunqu nico decent repar maldito coch moderno lleno sensor siquiera recambio dice gremio pone oreja,-1,0.3051251471042633,0.010167133063077927,0.11758241802453995
144,WSixY4rBDBA,UCO5JO3Hol7P4TcOOR1z4Faw,Crece una mierda.Crecen los precios esto si,[0. 0. 0. ... 0. 0. 0.],crece mierda crecen precio,-1,0.14901213347911835,0.012131736613810062,0.10043257474899292
149,WSixY4rBDBA,UCuTq9ugvI3hAHDF5kDeXXfw,"Pienso que el término ""aguanta más la economía  española"" es erronea....la economía de España depende mucho de capitales que llegan de otros países,  si hay flujo de capitales que vienen de fuera eso amortigua en parte un frenazo. ..ahora como esque esos capitales llegan a españa es interesante el tema puesto que son empresas que por lo general son corruptas o individuos políticos corruptos de otros paises y España como un paraíso fiscal le importa un bledo esa inmoralidad y no sólo eso sí no que da asilo con toda impunidad ...mientras traigan plata asta el más vil es un santo en españa",[0. 0. 0. ... 0. 0. 0.],pienso rmino aguanta econom espa erronea econom espa depend capital llegan flujo capital vienen amortigua part frenazo ahora esqu capital llegan espa interesant tema puesto empresa gener corrupta individuo tico corrupto pais espa fiscal importa bledo inmoralidad asilo toda impunidad mientra traigan plata asta santo espa,-1,0.5878018140792847,0.013676157221198082,0.2568083703517914
150,WSixY4rBDBA,UCtysuo3PAQFpXAAMSyfokBw,España no tiene economia vive de la deuda y del *cafe con leche en la plaza mayor* cuando esto se acabara se undira asta el infinito y mas aya,[0. 0. 0. ... 0. 0. 0.],espa economia vive deuda cafe lech plaza mayor acabara undira asta infinito,-1,0.04026304930448532,0.009486285969614983,0.020252585411071777
153,WSixY4rBDBA,UCALWKskBEfIM2CAUReo7iPA,"Conociendo a los de Negocios TV, dirán que vamos bien por algo malo...",[0. 0. 0. ... 0. 0. 0.],conociendo negocio vamo bien malo,-1,0.1913699209690094,0.028665632009506226,0.06980003416538239
160,aQbX0E76Dfo,UCGxEJe4YxHlVqQI7pra9Wbw,Cundo Donald Trump Estaba odo era mejor BIDEN ES UNA MALDICION,[0. 0. 0. ... 0. 0. 0.],cundo donald trump mejor biden maldicion,-1,0.04805830866098404,0.0116107277572155,0.022014932706952095
164,aQbX0E76Dfo,UCOazqd_NKzAEyTw5W7cGzug,Jajaja de dónde sacan estos opinologos usa está quebrada le pasó a Venezuela Perú etc y ahora a los yanquis,[0. 0. 0. ... 0. 0. 0.],jajaja sacan opinologo quebrada venezuela ahora yanqui,-1,0.9494781494140625,0.10159482061862946,0.8020981550216675
170,aQbX0E76Dfo,UCR-e6gnzsKZpCyxM6UlzwJw,"ee,uu de norteamerica regala    plata a selensky y cia,Y ELCIUDADANO COMUN estadounidense   se empobrece,Lamentable,",[0. 0. 0. ... 0. 0. 0.],norteamerica regala plata selenski elciudadano comun estadounidens empobrec lament,-1,0.06051408872008324,0.008245115168392658,0.036007776856422424
171,aQbX0E76Dfo,UCyOSrvaiAbVvnkCQm4C8gXQ,Estados Unidos ya no es el país del primer mundo ahora es del tercer mundo estados unidos está callendo y muy pronto miraremos una pontecia que ya se está levantando china  y viene avergonzar a estados unidos  ya la nación del primer mundo solo está sostenida en el aire ya no tiene fundamentos  sus fundamentes que tienen son de perversión y maldad homosexualismo en las escuelas eso es lo que les enseñan    Muy pronto veran la bandera china arriba y la bandera de Estados Unidos abajo ya china a comprado todo estados unidos los chinos son los accionistas mas grande los chinos an comprado todas las acciones inmobiliarias los chinos ya son los dueños de estados unidos china esta avergonzado a estados unidos estados unidos por causa de su malda y aberraciónes que practica  su poder a sido quitado y entragodo a sus enemigos para avergonzarlo,[0. 0. 0. ... 0. 0. 0.],unido primer mundo ahora tercer mundo unido callendo pronto miraremo pontecia levantando china vien avergonzar unido naci primer mundo solo sostenida air fundamento fundament perversi maldad homosexualismo escuela ens pronto veran bandera china arriba bandera unido abajo china comprado unido chino accionista grand chino comprado toda accion inmobiliaria chino unido china avergonzado unido unido causa malda aberraci practica poder sido quitado entragodo enemigo avergonzarlo,-1,0.696340024471283,0.01985926553606987,0.37560218572616577
173,aQbX0E76Dfo,UCKEM4ECDz_p-LOSnkPM9ciw,"Inflación causada, No recesión",[0. 0. 0. ... 0. 0. 0.],inflaci causada recesi,-1,0.0479162223637104,0.016457056626677513,0.033169545233249664
175,aQbX0E76Dfo,UCWzDNWT4u8Jt5UuC8yf-llQ,Un buen desempeño reducir el despido en empresas que maltratan y acosan empleados?,[0. 0. 0. ... 0. 0. 0.],buen desemp reducir despido empresa maltratan acosan empleado,-1,0.05797012895345688,0.0069592795334756374,0.035145435482263565
176,aQbX0E76Dfo,UC-wROa7e5C_byLe6bM7BqhQ,Estados Unidos está tronado económicamente cada vez más gente viviendo en la calle y más adicción a las drogas a esto sumarle las pésimas políticas públicas de los demócratas y republicanos más sanciones con el efecto espejo de Rusia y China a los estadounidenses. Ufff😢 creo que deben de cambiar de política exterior  o no se levantarán de esta crisis económica.,[0. 0. 0. ... 0. 0. 0.],unido tronado econ micament cada gent viviendo call adicci droga sumarl sima tica blica crata republicano sancion efecto espejo rusia china estadounidens ufff creo deben cambiar tica exterior levantar crisi econ mica,-1,0.24646060168743134,0.008708840236067772,0.11058047413825989
