index,category,comment,num_cat,ideología política,machismo,racismo
7710,racismo,"A mi hija le ha pasado algo similar, trabaja en un centro comercial, y un Nigeriano o lo que sea, la perseguía para ser su amigo, al final cuando ella me lo dijo era porque estaba preocupada y la habia esperado a la salida, se solucionó tendiendo que ir a buscarla a la puerta del trabajo durante varias semanas.
Yo estoy cansada, en mi barrio que antes era tranquilo, se ha venido a vivir una chusma latina y mora, da asco, te estoy siendo sincera y me da igual lo que piensen los demás.
Encima sales del portal de tu casa y se te quedan mirando estos latinos/as como si fuera suyo el barrio, asco de gobierno consentidor, nos está metiendo toda la chusma, y encima quieren que seamos solidarios con ellos...
Este año no voy a donar nada en la recaptación de alimentos porque quizás vayan para estás personas, y yo solo quiero ayudar a los de mi pueblo. Un",2,0,0,1
7908,racismo,Millones de negros y moros violando las fronteras europeas y el problema es que llueve. Gracias sionistas criminales,2,0,0,1
8056,ideología política,"""doña Leticia"" es una izquierdosa resentida q disfruta de la buena vida monàrquica...!!",0,1,0,0
3961,ideología política,"A pero con los paracos, esta gomela miserable si cerro bien la jeta...",0,1,0,0
7272,machismo,Jajaja ayudar a quien que patética esta mujer,1,0,1,0
7233,ideología política,Que vas esperar de semejante indidua.,0,1,0,0
6734,racismo,Ustedes los españoles son unos mazocas. Para aguante ustedes. Donde dije digo dije Diego.,2,0,0,1
5197,ideología política,"Hace falta ser cutre. a esta choni de tasca que se sacó un título de jueza en la tapa de un yogur tuvieron que vetarla desde europa, condenando a españa por permitirle que volviera a juzgar a Otegi. Como siempre es Europa la que saca los colores a este país de mierda.",0,1,0,0
3649,machismo,Esa vieja venía insultando al señor. Que esperaban? El señor tiene que defenderse,1,0,1,0
4759,ideología política,Pues el dinero se lo a dado a sus amigos los moros y ucranianos y pagas a todo el mundo y para sus amigos los traidores y al rey de Marruecos. Y a los países de sus amigos los sudamericanos,0,1,0,0
7417,racismo,Poco le importan a la Sra Belarra los esclavos  africanos que se explotan en la provincia de Almeria por sus propios conciudadanos - quizas ella tiene más intereses financieros en Palestina y/o Iran que en sus propio país????,2,0,0,1
4029,machismo,Esta mujer es imbecil de manual!!,1,0,1,0
4514,machismo,"Soberbia, mal educada, creyéndose el ombligo del mundo, cincuentona con ínfulas que grita, le monta pollos al Rey y ha hecho que la Familia Real se lleven mal. 
Felipito que mal has escogido, te haces caquita en los pantalones con solo mirarte tu mujercita, Leticia, con C no con Z.",1,0,1,0
3820,racismo,Ala bergaaaa a estos racistas Repúblicanos,2,0,0,1
7861,machismo,Que la diria Concha  esta atrevida. Se habrá revuelto,1,0,1,0
7769,machismo,patetica la chica,1,0,1,0
5005,racismo,"Vaya antes del siglo XV y del siglo VII y verá que los que los colonialistas son los Árabes Islámicos

Además por su posición geográfica en una de las principales vías marítimas del mundo el futuro de Ceuta y Melilla no depende ni dependerá jamás de Marruecos como ha sido siempre a lo largo de la historia y por eso mismo son Españolas mal que le pese a la BBC y a los cipayos Hispanoamericanos a su servicio.",2,0,0,1
4345,racismo,"No le crean a esta mujer ,ya esta gente en la cárcel de Florida por estar aquí indocumentado",2,0,0,1
6361,machismo,Que impresentable es esta sujeta,1,0,1,0
1336,racismo,A los españoles no se les quita lo colonialistas,2,0,0,1
6535,racismo,Hable de los inmigrantes ilegales e invasores,2,0,0,1
7858,ideología política,Grande Marisa Paredes. APRENDE AYUSO ella es una gran mujer. Tu estas años luz de serlo. Eres demasiado corrupta.,0,1,0,0
7409,ideología política,"Esta mujer es una impresentable que nos hace quedar a los españoles como ""amigos de los terroristas"". Belarra A MI NO ME REPRESENTAS, asi que habla a título personal",0,1,0,0
1660,ideología política,Estos comunistas hablando de democracia q cara dura esa mujer nauseabunda....esta peña tiene q acabar en la prisión de por vida,0,1,0,0
6360,ideología política,Que falsa la zurda!!!,0,1,0,0
7767,racismo,"Que tristeza ver a un blanquito privilegiado justificar la violencia sistematizada de la policía hacia la comunidad negra, supongo que tener antecedentes penales justifica que te pongan la rodilla en el cuello hasta asfixiante.",2,0,0,1
5393,machismo,Carolina descansa es una chupottera con poca vergüenza,1,0,1,0
3652,racismo,"Esque nosotros tambien somos bien,necios como latino Americanos,si sabemos que no somos bienvenidos,en los países donde hay gente racista gente de piel blanca,y nos gusta estar llendonos a meter donde no somos bienvenidos,los latino Americanos.",2,0,0,1
1021,machismo,esta mujer no tiene vergüenza,1,0,1,0
7857,machismo,Ella se cree la reina donde quiera que vaya cinica Ayuzo 😅,1,0,1,0
122,racismo,"El africano éste habla de legado, de qué legado de africa su legado en todo caso . Otra cosa; las feministas dejan entrar a medio africa y después los negros votan a vox. 
LOL",2,0,0,1
132,ideología política,"Sánchez= Maduro
Como no le va a pasar nada porque es otra casta pues todos a pagarle el sueldo a esta petarda y a callar",0,1,0,0
7983,machismo,"La loca esta de Marta Nabot, es tan fea como mala profesional. Repugnante. Bravo Abascal 👏👏😂",1,0,1,0
4354,racismo,Qué aguanten hambre todo eso gringos que viven en Miami,2,0,0,1
2057,machismo,"Pobre mujer, lo ha dado todo por el físico,como periodista es una inepta sectaria...pero la pobre quieren que la reconozcan como una gran profesional, anda guapi,ponte mas labios y botox y dedícate a lo que te gusta: hacer la pelota al goierno de turno. Alsina,de 10 como siempre",1,0,1,0
7863,ideología política,Que hace esa fascista ahi? Concha hizo hace unos años campaña por Zapatero. Pero la ida tiene que estar en todos los lados.,0,1,0,0
160,ideología política,"Se anuncia la entrada del minotauro, hará su llegada por la puerta 1.  Oligarcas de España, unios! Es hora de liquidar lo que queda de este país. Después? Como buenos piratas, ya veremos...La cosa esta dificil. El desguace de Países es industria de alto nivel de competencia. Dicen que las Guayanas aún, no han sido desguazadas. Oligarcas: presuntos periodistas y progres.",0,1,0,0
7768,racismo,los negros son los mas racistas que hay,2,0,0,1
5701,ideología política,"Por eso a los Gabachos les tenemos un cariño Histórico especial.Por envidiosos y malas compañías.En Trafalgar perdimos por los Gabachos.Y el único momento que sacan pecho , es con un Corso llamado Napoleone de los Estados que luego formaron Italia y que la Isla se la vendió el Estado de Génova a Francia .Lo tienen en los inválidos como un héroe y murió como prisionero de los Ingleses en una Isla .Que final más cutre tuvo el Ogro de Europa. Lo tuvo todo robado y todo lo perdió  en 20 años.Un Imperio que duro 2 décadas .El Imperio Español duró 400 años .Solo hay que ver el Imperio de uno en América lleno de Ciudades, Catedrales, Hospitales y Universidades y los Gabachos en África , no han dejado anda más que miseria y pobreza y ni un edificio importante.No le hicieron ni una Universidad a los Negritos en sus Colonias , que solo les robaron y no les dejaron nada, si no miremos Santo Domingo y al lado Haití. La misma Isla y la parte Española culta y prospera , la parte que fué Francesa , pobres y haciendo budú..",0,1,0,0
4427,ideología política,"Está MATANDO españoles. Sin sangre ni medicos .ni  bulanciss .con patrras para otro sitio y otros aqui. .SANCHEZ O TODOS EN Ptrras o yu solo y familiar rn pateras al cosmos con , ZP. Por el tunel y zp de capitán de patera al cosmos pues mo habrá mas costa s costas",0,1,0,0
7229,ideología política,"Es una p3rra comunista, no esperéis nada bueno de ella.",0,1,0,0
4696,ideología política,"Los nazionalismos excluyentes, los del RH negativo y la de España nos roba, los extremeños son unos mantenidos, vamos a tener que adoptar niños extremeños etc, etc... entre otras lindezas, esto es lo que quiere la supuesta izquierda apátrida?",0,1,0,0
4568,racismo,"No le veo diferencia al trato que dan a  sus mujeres estos judíos: solo tener hijos, cuidar la casa y todas cubiertas, cuando quieren comparar con los musulmanes extremistas",2,0,0,1
7979,ideología política,Y esta cobra de nuestros impuestos,0,1,0,0
5421,ideología política,Esta señora o no tiene idea de lo que dice o miente como una bellaca en cataluña a nadie que venga de cualquier zona de España se le llama charnego por lo tanto que se informe antes de hablar,0,1,0,0
7622,machismo,Que esta gord4 esta mintiendo me llega 😂😂😂,1,0,1,0
6274,ideología política,"Sí sí, un ultraconservador francés amigo de España. Jajajaja. Que hable de su país. Vivo en Francia y dicen que África empieza en los Pirineos. Ilusos algunos españolitos",0,1,0,0
635,ideología política,España Francia Portugal Italia Grecia.   Los más ricos de verdad en Europa mejor qui os alejais de Bruselas y agan algu vuestro el sur de Europa por qui viven en Holanda si Holanda no tiene nada de nada sólo frío y agua patata asquerosa y zebolla sin sabor y ratas y viven mejor que italia la más rica de europa qui tiene casi todo menos petróleo y gas,0,1,0,0
4026,ideología política,"Anda Susanita,pero con lo bien Pagada que estas😂😂😂y en europa tarari que te vi😂😂NONO Y NO YKE HICIERON LA PUÑETA EUROPA A DICHO QUE NO😂😂😂NO ACIERTAS Y MENOS MAL,ALSINA😂😂😂😂😂😂",0,1,0,0
6359,ideología política,Esta señora está mal de la cabeza..,0,1,0,0
7156,ideología política,Pero esta mujer no deberían dejarla hablar comunista pura y dura,0,1,0,0
2642,racismo,Alos botanes nos llaman una besmas tontos la ban aliar,2,0,0,1
5584,racismo,Las  talibána  son ninja  con todas  las  cara tapadas,2,0,0,1
4569,racismo,"No se consideran israelies,entonces porque viven alli? En cualquier lugar que se vive en forma civilizada hay que cumplir con las leyes y reglamentos,,y en Israel el servicio militar es obligatorio para defender el pais de multiples ataques. Los ultrareligiosos que no consideran Israel SU pais podrian ser utiles en la retaguardia, en ofrecer apoyo moral, en integrarse de alguna forma a la vida del pais. Porque no hay forma de entendimiento y se odian entre si : ortodoxos y sionistas.",2,0,0,1
6666,ideología política,"No se entera está astronauta,coge el cohete y lárgate a Júpiter y monta un partido allí y te llevas a la Irene y la Pam y le montas un supermercado allí.",0,1,0,0
4678,machismo,Hay wue ser muyyyy Bobaaaaaaaaa,1,0,1,0
849,machismo,Que falsa esta yolandita . Que vergüenza..,1,0,1,0
1381,machismo,"Madre mia ,a esta mujer no le puede decir nadie que este calladita... debería estar en la cárcel contando ranas",1,0,1,0
2858,machismo,No eres válida para todos los oyentes estas podridisima y hueles mucho.,1,0,1,0
4566,racismo,Esa raza es el mal del mundo estan completamente locos los judios,2,0,0,1
689,racismo,Feijo no por favor.  Y esta rubia   y está otra que por narices tiene que hablar por. Cojo.....n .  Tienen. Que hablar. En su dialecto  en catalán. Nos tenéis solución,2,0,0,1
5526,racismo,"Hola Begoña estoy escuchando lo del latido y todo ese argumento que explicas, estoy al 100% de acuerdo contigo pero de qué la seguridad social es gratis no es verdad, yo pago cada mes mi seguridad social, gratis es para los ""inmigrantes"" que vienen en patera y esos si que no han aportado un €.",2,0,0,1
4283,machismo,La Sra Diaz es una jeta sinvergüenza,1,0,1,0
4455,ideología política,"Esto es necesario y es el resultado del woke izquierdista que siempre cree tener la razon,,,,,,,,,,,,,a votar por la derecha y sacar a todos los ilegales y musulamanes de Espania",0,1,0,0
745,ideología política,"Los españoles arden..O los metáis con vuestros amigos de JAMAS,o no vivireis tranquilos..Esto es lo que se oye en todas partes..",0,1,0,0
7090,racismo,"Pero al ciudadano le importa tres pimientos si roban al autónomo o lo hunden en la miseria.  Lo que les importa es cobrar lo suyo todos los meses, trabajen o no trabajen. Que es la mentalidad de los Ñus cuando cruzan los ríos de África, me la sopla a que Ñu se coma el cocodrilo, mientras no sea yo. Y lo que hay que hacer es unir a esos miles de Ñues y patear a los 20 cocodrilos. Pero para eso ya están las TVs y los Sindicatos.. para desunir y aborregar.",2,0,0,1
7107,racismo,Me gusta esta señora hablando escuchando lo es verdad no nos ha apoyado en nada nosotros los españoles nos ha dejado en la m***** Europa es una m***** a mí no me gusta Europa no me gusta nada espero que bueno a todos los españoles ya la mayoría no les gusta Europa porque con este Pedro Sánchez va y lo miente cuatro mentiras y nada así que aquí no hay justicia ni nada un golpe de estado que tenemos y al que no tiene para comer nada y a inmigrantes entrando por vamos como hoy que están entrando por todos los sitios esto,2,0,0,1
3313,ideología política,"**¿AMNISTIA A LOS BUITRES ASHKENAZIS SEPARARISTAS ""BALCANIZADORES"" DE NACIONES?.... OBVIO NO!!!!!... LA HUMANIDAD NO DEBE PERMITIRLO!!!!... LO MISMO EL DESPOJO A PAKESTINA, DE SUS TERRITORIOS Y AHORA DE GAZA!!!... ¡NO A LAS INVASIONES!!!...¡¡ NO AL PERDON DE SEPARARISTAS ""BALCANUZADORES"" DE NACIONES!!!!!...**",0,1,0,0
3834,machismo,"A la mierda marruecos.
No queremos marroquís en España.",1,0,1,0
5297,racismo,"Pienso...  que se arruinò la vida! Sì,  es verdad que vive rodeada de lujos y poder. Pero al mismo tiempo ha sido miy muy denostada por bo ser de sangre real. Ese sr. Peñafiel  la ataco horrores! 
Comparada con la familia real, sì que estaba mas preparada!   Ella podìa brillar con su luz propia. Ahora me parece. Con todo respeto. Un ser acartonado. Eternamente estresada.  Como si esa leticia de ojos enamorados hubiera muerto por ahi...",2,0,0,1
994,ideología política,"Su independencia fue gracias a la ayuda española y francesa. Pero creo que más por parte de España ya que teníamos un conflicto con los ingleses, ayudarlos a ellos era distraer a los piratas, pero despues estados Unidos nos traición con sus amigos piratas. Los gobernantes de aquella época no actuaron bien.
Pero ahora es otro día y debemos juzgar lo que pase hoy, pero recordando el ayer.",0,1,0,0
324,ideología política,"14:43 Que dice esta señora!?!? Faaaalsaria!! Cientos de miles, si no millones salimos a las calles el Domingo en España dando ejemplo de civismo y democracia!! Meeeentirosa!! Difamadora!! Desinformadora!!",0,1,0,0
1244,ideología política,"El pais España ya es un caso perdido,la extrema izquierda domino el pais España,los españoles viajaran legalmente a otros paises y otros españoles se quedaran apoyando la resistencia española derechista contra la amnistía de los izquierdistas españoles.",0,1,0,0
7976,racismo,El Antonio este y los italianos que se callen que aquí no pintan nada. Siempre apoyamos a palestina en este país y ahora más. Salud camaradas ✊✊✊,2,0,0,1
6196,ideología política,Esta mujer se acuerda del caudillo ella cree que el caudillo hubiese permitido todo lo que ha echo la derecha está haciendo en las calle está es la menos indicada que a recorrido dos o tres partidos que se de media vuelta,0,1,0,0
5889,ideología política,"Yo veo a los cubanos , venezolanos , puertorriqueños , argentinos y otros países hispanos como gente cercana, como nuestros primos segundos o terceros ..y me da mucha pena lo malo que les sucede.
Como dice un señor , quizás en su momento tuvo la revolución castistra su justificación, por qué los jerarcas eran corruptos , la mafia de EEUU eran los dueños de media Cuba .
Pero la solución comunista de Castro fue peor , 
Es como ir al dentista a que te quiten la muela del juicio y el dentista te la quitan todas . 
Así hacen los comunistas para solucionar un problema crean 100 mas",0,1,0,0
2749,ideología política,Manipuladoras,0,1,0,0
106,racismo,"mejor que pelear entre nosotros es solucionar estos jodidos precios altos en España, trabajamos para comer, compramos aceite de oliva en el primer país productor de aceitunas del mundo a 14 euros el litro, al mismo tiempo Estados Unidos cobra aceite de oliva importado de España. ¡Con altos impuestos y aduanas! ¡Al mismo tiempo, los precios del alcohol son los mismos! ¡O nos quieren emborrachar! No soy responsable de la guerra entre Ucrania y Rusia, y no soy tan estúpido como para creer las mentiras americanas e inglesas.",2,0,0,1
4729,machismo,Farsa mujer 🤬😡🤬😡,1,0,1,0
7974,racismo,"Este ministro,como todos en Europa, es un cìnico. Saben que no se deben tirar en contra de Israel. El dinero maneja el mundo o sea el relato internacional , llamesè  los judios norteamericanos o los judios a nivel mundial . Al tener los capitales, tiene el relato y por consiguiente tiene la razòn.Aca en Argentina, los medios estan manejados por personajes judios y en los noticiosos de nuestro pais, que si duran 1 hora, unos 15/20 minutos hablan (justificandosè por la masacre de Gaza)de que ellos son los buenos y los palestinos , son el diablo. No olviden que Arg., es el tercer paìs del planeta,donde viven la mayor cantidad de judios.",2,0,0,1
8066,ideología política,ESTA GILIPUERTAS TENÍA QUE ESTAR EN EL GOBIERNO PARA NO DESENTONAR !,0,1,0,0
1205,racismo,"LA U.E 
SOLO QUIERE A ESPAÑA PARA RECOJER A EMIGRANTES ILEGALES",2,0,0,1
3343,ideología política,"Si eso sirve para que los fascistas no ganen entonces esta bien ,por que a españa le va a salirbmucho mas caro el dia que esos  fascistas ganen y entonces privatizen todo en españa   al final ya.  No sera de los Espanoles",0,1,0,0
6532,racismo,"No , si los emigrantes no tienen la culpa y son necesarios, sobretodo para los empresarios que los contratan y luego no les pagan las horas extras y el emigrante no dice nada, o para cuando los despiden y no les pagan el finiquito y tampoco se quejan, por eso hay sectores como la construcción o el transporte donde la mayoría son inmigrantes porque al español de barrio humilde le gusta cobrar las horas que trabaja y eso no interesa al empresario. Es más lo fácil es decir que es el español que no quiere trabajar en esos trabajos y no es así. Todo el mundo tiene derecho a una vida mejor, pero cuando digo todo el mundo es además de los inmigrantes, los españoles de familia humilde y digo de familia humilde porque los demás ya tienen las necesidades cubiertas. Y siempre nos acordamos de tener compasión de cualquiera de fuera pero en España también hay mucha gente que pasa calamidades y vas a los servicios sociales y eres el último en recibir ayuda.",2,0,0,1
1652,ideología política,"No recordamos lo que tuvo que soportar la policía en Cataluña, cuando se manifestaban los independentistas? Que somos nosotros los terroristas? Democracia es que los 2 partidos más botados de las ultimas elecciones dialoguen y lleguen a un acuerdo, y no reírse de los españoles, ustedes se tienen que ir fuera ya, malditos seáis todos los políticos, que nos espera? Aquí en Almería tenemos una inmigración descomunal como nunca se ha visto, que creen ustedes, que esta gente nos va a pagar las pensiones? Aquí no trabajan ni los españoles ni los de afuera, deberían quitar tanta ayuda y poner a esa gente a trabajar, que tenemos mucho monte que se quema, malditos sean todos los políticos que destruyen el país que nuestros abuelos tanto lucharon para que hoy estemos así,",0,1,0,0
4579,racismo,"COMO EN TODAS LAS GUERRAS LOS SOLDADOS SON LOS DE LA ZONA RURAL ,DESENPLEADOS , HOMBRES SIN PREPARACION ACADEMICA Y LOS DE DINERO MUY BIEN .YO DIGO .O TODOS EN LA CAMA O TODOS EN EL SUELO . ASI ES LA VIDA DE INJUSTA .
OARANDO PARA QUE LOS MISILES NO MATEN INOCENTES 🤔",2,0,0,1
2125,machismo,No tiene nada que hacer esa chorra yegua ahi!!,1,0,1,0
4797,machismo,Tomala pendeja!!! ❤❤❤❤,1,0,1,0
1605,machismo,Loca feminista busca ayuda psicológica y mental Nadie se fijara en ti pides mucho pero a la final no das nada No quieres q te mantenga da risa escuchar hablar estás feministas tostadas jaja nadie se fijara en una maniática jaja,1,0,1,0
2649,machismo,Tremena ignarante pta mugrienta,1,0,1,0
242,machismo,Dime otro chiste feminista de mrd jajaja😂,1,0,1,0
2919,machismo,Pura vieja pendeja sin oficio,1,0,1,0
2631,machismo,Askerosa montero,1,0,1,0
5002,ideología política,"Petarda, fascista, bulera.",0,1,0,0
2412,machismo,"Otra loca feminazi 
De que que quiere concientizar ?",1,0,1,0
1504,machismo,FEMINAZILOCAS,1,0,1,0
1510,machismo,Pndeja,1,0,1,0
2389,machismo,Pobre Endeja 🖕🖕🖕,1,0,1,0
2641,machismo,REUNION DE PAYASAS RESENTIDAS.,1,0,1,0
6185,machismo,Pues a mi no me molesta esra tiparraca.. Ni siquiera la escucho😎😎 si diera las entrevistas en toples pues a lo mejor si que escucharia sus gilipolleces 😂😂😂😂😂😂😂,1,0,1,0
6001,ideología política,La mujer esa..la tal Paquií es muy agresiva.,0,1,0,0
1217,machismo,"Cuatro histericas, la histérica de quinta eres tu...",1,0,1,0
1884,machismo,Al calabozo por inrrespetuosa😂,1,0,1,0
1096,machismo,Ser feminista en España y Argentina es ser una loca histérica que le hace falta mucha terapia y educarse en el sentido de saber que es lo que salen a reprochar.,1,0,1,0
1414,machismo,"Pobrecilla k eres.. oprimidita.. no se te deja ni respirar ni dar tu opinion ni insultar ni vivir bien no. Dile esto a las chicas arabes y demas africanas, k esas si k necesitan ayuda, no vosotras torpes k ya no sabeis ni k quereis, tenein tantos privilegios k ni os dais cuenta y ademas quereis destrozar al hombre, pero lo que no sabeis es que el hombre fue, es  y será el dueño del mundo, no las mujeres, asi que espabilad MUJERES FEMINISTAS ESTUPIDAS.",1,0,1,0
4616,machismo,Que payasa esta femenina 🤣🤣🤣🤣🤣🤣,1,0,1,0
1586,machismo,"Vaya rata cobarde,y esas mujeres igual de cobardes.",1,0,1,0
5269,machismo,"Esa es toooonnnta. Pero ¿qué se creerá, que las mujeres de más de.60 somos niñatas, como ella?",1,0,1,0
2155,machismo,La loca de la carla se va a quedar sola y amargada,1,0,1,0
2170,machismo,Patricia Sarnosa,1,0,1,0
5110,machismo,Feminazi!!🖕🖕🇪🇦,1,0,1,0
4920,machismo,Ahhh esa señora ya la había visto antes y es bien pendeja,1,0,1,0
1612,ideología política,😂😂😂😂 Que bruta póngale 0,0,1,0,0
220,machismo,Locas feministas ignorantes,1,0,1,0
888,ideología política,Surda de cuarta..vamos milei la dejaste llorado,0,1,0,0
4701,machismo,"Roma, ten claro que es una enferma la fifi",1,0,1,0
4945,machismo,Esa vieja no sabe un pelo de lo que dice,1,0,1,0
3948,machismo,"Con uñas de medio metro poco va a trabajar esa chica, las pijas siempre dicen tonterias jajaja",1,0,1,0
4930,machismo,"Tas mensilla mija
Ya duba busca feminista en El diccionario",1,0,1,0
4187,machismo,Malditas enfermas,1,0,1,0
1100,machismo,Que estupida mujer! 🤦,1,0,1,0
2162,machismo,Sarnosa...mas que Sornosa. Dios que mala es,1,0,1,0
2981,machismo,A mi no me gusta esta señora es muy mandona y prepotenta siempre tiene la razon,1,0,1,0
2029,machismo,GRACIAS MUJER MODERNA...AHORA ERES NO IGUAL...MAS PENDEJA QUE EL HOMBRE,1,0,1,0
2130,ideología política,Quien se cree esa imbecil? Estados Unidos está donde está por equivocarse y rectificar tonta que no sabes ni quien eres.,0,1,0,0
3342,machismo,Resentida feminista,1,0,1,0
1588,machismo,"Jajjaja que igualdad piden, solo quieren ser privilejiadas, pinche pendejas no dejan trabajar",1,0,1,0
456,machismo,Okey wacho esa mujer es tremenda gilarda,1,0,1,0
3654,machismo,tu discurso de odio aniquilo a la gorda patetica sin amor  y falta de atencion,1,0,1,0
1175,racismo,"Melie bos ser una guacamaya mal educada, dejar hablar ala dama que tambien tiene algo que aportar.",2,0,0,1
448,machismo,Es de mala educación no mirar a la persona que te está hablando sapa culia😂,1,0,1,0
2122,machismo,Es una estúpida la Cretina,1,0,1,0
275,racismo,Tu de española no tienes nada pañuelitos,2,0,0,1
4330,ideología política,Golfa nazi,0,1,0,0
1882,machismo,Esa mujer es una cobarde  y el marido un calzonazos,1,0,1,0
1606,ideología política,"Jajajaja seguro que sí señorita jajaja, que risa da esa enferma adoctrinada.",0,1,0,0
1956,machismo,"Sol perez es una burra, una intrascendente.",1,0,1,0
779,racismo,que verguenza que esa mujer sea de argentina,2,0,0,1
1241,machismo,Alarmante casos de homosexualidad ?? Maldita enferma !!! Hablan de Irene pero la otra es una desubicada,1,0,1,0
2593,ideología política,Que tiene que ver que se cambie el físico? Tú siempre valoras a la mujer por la belleza  y nada más. Tú eres tan mujer como misógina.,0,1,0,0
2688,machismo,"Ser feminista es una lesbiana fea, de pelo corto con pelos en los sobacos y envidia de pene!!",1,0,1,0
2388,machismo,Naa feminazi naa.me la bajo jaja,1,0,1,0
679,ideología política,"Inche entrevistadora indeja! ...Roxana es la ESPECIALISTA!...y no fue a debatir! Carajo! Fue a contestar  preguntas, pero NO LA DEJAS CONTESTAR! AAAAAHHH!😡",0,1,0,0
1229,machismo,Esta mujer es tan inútil,1,0,1,0
2867,ideología política,Muy bien Sofía Rincón diciendoles la verdad en sus caras a esas viejas zurdas que hacen confundir a la gente,0,1,0,0
1685,ideología política,"Para la española promedio los unicos malos y machistas son los hombres blancos españoles ,si son de africa y Marruecos para ellas son los buenos",0,1,0,0
2881,machismo,Si se viste como una zorra.. no esperes a ser tratada como un pollito😅,1,0,1,0
188,machismo,Feministas resentidas,1,0,1,0
1759,machismo,¿Nunca te ha pasado que tienes que trabajar hasta tarde y la feminazi que tienes de esposa no quiere hacer la cena? Que periodico más patético.,1,0,1,0
494,machismo,VAYAN A LAVAR LOS PLATOS TROLAS,1,0,1,0
696,machismo,Otra española que aborta y quiere que el estado le page el aborto,1,0,1,0
1051,machismo,Que tonta conductora,1,0,1,0
849,machismo,Hay que bruta póngale cero.,1,0,1,0
4522,machismo,"Esa tipa tiene el poco cerebro como para abrir un pistacho, no da más de si",1,0,1,0
605,machismo,Que quiere esra tipa al robot jiban o wuevocop,1,0,1,0
2282,machismo,"La tia del principio es una loca femnista, se le ve con sus gestos, el pavo no sabe donde está metido, pero habla con miedo.",1,0,1,0
2154,machismo,"Espero que ningún tío se acerque a ella,es una leprosa psicológica",1,0,1,0
4405,machismo,Feminista (loca) tratando de defender sus ideales .... lo peor es que NO les da verguenza.,1,0,1,0
1660,machismo,La calló ala feminista sectaria💲,1,0,1,0
4677,machismo,Y BUE'....... SI TE SENTIS TAN AMENAZADA PONETE DE ESCOLTA A LA GUARDIA SUIZA DEL VATICANO LOCA......¡¡¡¡¡¡¡¡¡¡ QUE INSUFRIBLE......¡¡¡¡¡¡¡ POBRE LA FAMILIA....¡¡¡¡¡¡¡,1,0,1,0
5878,ideología política,"A mi esta mujer me a echo daño porque es una mentirosa conpulsiva, yo fui de verdad maltratada",0,1,0,0
6029,racismo,"todas son unss gorronas que quieren comida gratis, jajajajajajaj y soy latino, jajajjja",2,0,0,1
4171,machismo,Aca en Noruega las mujeres eslavas abandonan a sus maridos eslavos.Para conseguirse un noruego con dinero.Aunque sea un viejo feo y panzon.PERO con  mucho dinero.,1,0,1,0
2726,machismo,UN VÓMITO DE MUJER.,1,0,1,0
5104,ideología política,"Viva Agustin Laje,  tiene toda la razón. Esa mujerzuela es una comunista muy estúpida.",0,1,0,0
4457,machismo,Típico de dolida,1,0,1,0
1536,machismo,Es hipócrita y es estúpida.,1,0,1,0
4980,machismo,Muy maleducada esta mujer.Todo el tiempo mirando el celular.MONÓLOGO DE MORÁS,1,0,1,0
