,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
16,WdtyLi2wBDs,UCZ8evI8k1tPsRAfxByLoa8g,"Que mentalidad tan chiquita con estos tíos....nos roban de un lado y está mal,pero si nos roba el rey esta bien...la esclavitud en España se perpetúa.",[0. 0. 0. ... 0. 0. 0.],mentalidad chiquita roban lado roba bien esclavitud espa perpet,0.0
21,4i2m9Z47ETc,UCzT5hSUdv1qk40obikDb5Ew,Para que sirve un Rey?,[0. 0. 0. ... 0. 0. 0.],sirv,0.0
22,4i2m9Z47ETc,UCgW7xHsCcD7fCUpo0g0OkeA,Jaja se nota que la mayoría no saben cómo funciona una monarquía ni saben que es una república,[0. 0. 0. ... 0. 0. 0.],jaja nota mayor saben funciona monarqu saben blica,0.0
23,4i2m9Z47ETc,UCvoOpGOmz8_fxg-xxVvOZMA,"¿Monarquía sí o no? No, ni de coña. (La rapidez con la que responden los primeros entrevistados, lo mejor)",[0. 0. 0. ... 0. 0. 0.],monarqu rapidez responden primero entrevistado mejor,0.0
25,4i2m9Z47ETc,UCLmL-Kr6GqzslmI6_gc45Eg,Monarquía: NO!,[0. 0. 0. ... 0. 0. 0.],monarqu,0.0
26,4i2m9Z47ETc,UCUivzTmOf_f8Wz33EqhJokg,"¿República como los países del tercer mundo?... No gracias.

La única república que ha funcionado es la de los Estados Unidos De América, ¿acaso quieren algo como México o las demás repúblicas de América latina?... Monarquía mil veces.",[0. 0. 0. ... 0. 0. 0.],blica tercer mundo gracia nica blica funcionado unido rica acaso quieren xico blica rica latina monarqu vece,0.0
29,4i2m9Z47ETc,UC2JBocUxefcEa0CniYkLQBw,"""que se votó en su momento"", primero que está chiquita se informe y luego opine!",[0. 0. 0. ... 0. 0. 0.],momento primero chiquita inform luego opin,0.0
33,4i2m9Z47ETc,UCPX5RdKviD4zsF4H7AVg-1w,"Andaluces de izquierdas: trabajadores, estudiantes, jornaleros, empleados públicos, ecologistas, defensores de los derechos humanos, pequeños autónomos, científicos, feministas, universitarios, maestros y profesores de la educación pública,sanitarios, comerciantes, cristianos de base, asalariados de grandes empresas,trabajadores del sector cultural, deportistas de base, trabajadores del turismo, de la hosteleria, del sector de energías renovables,  hombres y mujeres andaluces progresistas todos: hay que votar a la izquierda el 19 de junio a la opcion progresista de izquierdas que querrais, para que Andalucía sea una Comunidad de progreso, de educación, de trabajo, de cultura..cada voto de izquierdas cuenta...Ánimo!!!",[0. 0. 0. ... 0. 0. 0.],andaluc izquierda trabajador estudiant jornalero empleado blico ecologista defensor derecho humano pequ nomo cient fico feminista universitario maestro profesor educaci blica sanitario comerciant cristiano base asalariado grand empresa trabajador sector cultur deportista base trabajador turismo hosteleria sector energ renov hombr mujer andaluc progresista votar izquierda junio opcion progresista izquierda querrai andaluc comunidad progreso educaci trabajo cultura cada voto izquierda cuenta nimo,0.0
38,4i2m9Z47ETc,UCQ5G8Qiy3NvBOHSBVtTiu-w,Lo mas higienico seria un referendum.,[0. 0. 0. ... 0. 0. 0.],higienico seria referendum,0.0
44,KzSlyGHjTX8,UC_fHAdvtwwQISwuzaVN0FBw,Donde dice que aquí en España el poder lo tiene el Rey?,[0. 0. 0. ... 0. 0. 0.],dice espa poder,0.0
45,KzSlyGHjTX8,UCgW7xHsCcD7fCUpo0g0OkeA,"Mmm pues no estas viendo todas su aristas la ventaja de un rey es que el o ella se prepara durante toda su vida para gobernar no exite en teoría mejor gobernante que un rey pues este estudia durante toda su vida para ello a diferencia de cualquier otro político.
La culpa no es de la monarquía como la plantea y si es facil que un gobierno entre y destroce a un pais ejemplo Venezuela, Korea del norte, cualquier otro pais de LATAM te lo puede confiar como sus republicas representativas constitucionales no funcionan",[0. 0. 0. ... 0. 0. 0.],pue viendo toda arista ventaja prepara toda vida gobernar exit teor mejor gobernant pue estudia toda vida ello diferencia cualquier tico culpa monarqu plantea facil gobierno destroc pai ejemplo venezuela korea nort cualquier pai latam pued confiar republica representativa constitucional funcionan,0.0
47,KzSlyGHjTX8,UCMq51jQ3EBweqW6s6pbld8A,SÓLO PARA DEFENDER A LOS PODEROSOS.,[0. 0. 0. ... 0. 0. 0.],defend poderoso,0.0
48,KzSlyGHjTX8,UCMq51jQ3EBweqW6s6pbld8A,👑 BY THE FACE.SWALLOW PEOPLE 💰,[0. 0. 0. ... 0. 0. 0.],face swallow peopl,0.0
49,KzSlyGHjTX8,UCAJPS2S3yNW2RcNwgtgvW0w,Perdóname pero España no sería lo que es ahora sin los antepasados del Rey,[0. 0. 0. ... 0. 0. 0.],perd name espa ahora antepasado,0.0
50,KzSlyGHjTX8,UC_u5XM-vyN1x4nhakqpviMg,En México  ya  quisiéramos volver a tener  nuestra familia real 👑 y estar  bajo una corona cristiana religiosa que  obligue a los infieles a creer en Dios,[0. 0. 0. ... 0. 0. 0.],xico quisi ramo volver tener familia real bajo corona cristiana religiosa obligu infiel creer dio,0.0
54,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"Monarquía mil veces, aparte que sale mucho más barato, da más prestigio,mejor tener ahí una dinastía que va a estar toda su vida ahi a no que un presidente q va a estar 4 años i se va a ir hará todo el dinero q pueda I luego otro I así todos los q pasen, en cambio la monarquía al estar toda su vida tiene más responsabilidades a la larga",[0. 0. 0. ... 0. 0. 0.],monarqu vece apart sale barato prestigio mejor tener dinast toda vida president dinero pueda luego pasen cambio monarqu toda vida responsabilidad larga,0.0
55,KzSlyGHjTX8,UCq_5LSvXERQZSgEiKWt0CXg,viva el rey!,[0. 0. 0. ... 0. 0. 0.],viva,0.0
58,KzSlyGHjTX8,UCopbQKbyyLII_YEqaq_-UBQ,Argentina es una republica y tiene tres Poderes judicial poder legislativo y poder ejecutivo todos por separados ninguno se sobrepone sobre otra . Cada una cumple su trabajo y son poderes independientes,[0. 0. 0. ... 0. 0. 0.],argentina republica tre poder judici poder legislativo poder ejecutivo separado ninguno sobrepon cada cumpl trabajo poder independient,0.0
59,KzSlyGHjTX8,UCMErPMTjLGqNwELWHLeXqFw,Yo también sois de lo que piensa que un rey que pinta nada si hace muchimo más un presidente un rey vive como quiere por la cara sin hacer nada el y su familia hijos hermanos primos en fin,[0. 0. 0. ... 0. 0. 0.],tambi piensa pinta hace muchimo president vive quier cara hacer familia hijo hermano primo,0.0
60,WGC0RtlEIUY,UC_Q7-uOJy3BPWjKNdATqrag,"📌PARA APOYAR AL CANAL: https://www.patreon.com/RubenHoodofSpain
📌PARA ADQUIRIR MI LIBRO: envíame un correo aquí: rubenhoodofspain@gmail.com",[0. 0. 0. ... 0. 0. 0.],apoyar canal http patreon rubenhoodofspain adquirir libro correo rubenhoodofspain gmail,0.0
62,WGC0RtlEIUY,UCgW7xHsCcD7fCUpo0g0OkeA,Una república no es la respuesta para España,[0. 0. 0. ... 0. 0. 0.],blica respuesta espa,0.0
63,WGC0RtlEIUY,UCgW7xHsCcD7fCUpo0g0OkeA,No cabe la duda que en los comentarios la mayoría no entiende como funciona una monarquía contemporánea,[0. 0. 0. ... 0. 0. 0.],cabe duda comentario mayor entiend funciona monarqu contempor,0.0
64,WGC0RtlEIUY,UCLausDKU2uutThc4CAjyFdw,"Claro, a los ricos no les conviene que tengan que tratar al trabajador con respeto y pagarles bien su salario, y su gobierno debe hacer su trabajo sirviendo al pueblo, por eso no les gusta la república, pero un día la monarquía caerá y España será libre!",[0. 0. 0. ... 0. 0. 0.],claro rico convien tratar trabajador respeto pagarl bien salario gobierno debe hacer trabajo sirviendo pueblo gusta blica monarqu caer espa libr,0.0
65,WGC0RtlEIUY,UCfa8MrOLVlxzUBe2jPh08TQ,"Cuando ablamos de república lo asociamos erróneamete con marxismo o socialismo no tiene por qué ser así puede ser un república capitalista en la OTAN y en el EURO y no tenemos por toleral que un noble por un título socialmete sea superior en la jerarquía social cuando en Alemania los títulos han sido abolidos he integrados en los apellidos por qué un rey por ser rey tiene un coto de 15000 ectareas el Pardo porque un rey por ser jefe
de estado le pagan un sueldo ha su madre otro Asus hermanas y es legalmente inenjuiciable un saludo y un abrazo fuerte",[0. 0. 0. ... 0. 0. 0.],ablamo blica asociamo neamet marxismo socialismo pued blica capitalista otan euro toler nobl tulo socialmet superior jerarqu social alemania tulo sido abolido integrado apellido coto ectarea pardo jefe pagan sueldo madr asu hermana legalment inenjuici saludo abrazo fuert,0.0
66,WGC0RtlEIUY,UCxlmYEHukoKzTZambJbxI0w,Si hay republica quiero que su presidente sea Abascal.,[0. 0. 0. ... 0. 0. 0.],republica quiero president abasc,0.0
67,WGC0RtlEIUY,UCzzV7yHnmRQmEf5nCplUNQQ,"Considero que si comparamos la Monarquía actual con una República prefiero la República, pero si el Rey tuviese derecho a poder vetar a un presidente si este empieza a irse de control (y no porque sí) prefiero Monarquía.",[0. 0. 0. ... 0. 0. 0.],considero comparamo monarqu actual blica prefiero blica derecho poder vetar president empieza irs control prefiero monarqu,0.0
68,WGC0RtlEIUY,UCBr7Kz4iQOKcRkz90pRRT5A,Entonces que España sea fascista,[0. 0. 0. ... 0. 0. 0.],entonc espa fascista,0.0
72,WGC0RtlEIUY,UCftrqQ41mFXUoognZ7fgjZA,Monarquía es mejor,[0. 0. 0. ... 0. 0. 0.],monarqu mejor,0.0
76,WGC0RtlEIUY,UC01CvkzTTdrkmLtCcmACvBw,"Yo prefiero la República, pero las cosas como son, este rey me cae muy bien, así que de momento me da igual, mientras no haya dictadura, me da igual.",[0. 0. 0. ... 0. 0. 0.],prefiero blica cosa bien momento igual mientra dictadura igual,0.0
77,WGC0RtlEIUY,UCLxwGOrXF8VdrGM7ehBM2mA,Dónde está el debate?? No lo he visto....Es el primer debate de la historia en el que sólo hay un participante... jajajaja,[0. 0. 0. ... 0. 0. 0.],debat visto primer debat historia participant jajajaja,0.0
78,WGC0RtlEIUY,UClhAFAuNu10_Jvi3GSfW-cg,Rumania es republica pero con casa real,[0. 0. 0. ... 0. 0. 0.],rumania republica casa real,0.0
79,WGC0RtlEIUY,UC0HaksQ7tg83wrX4hqsY6FQ,Yo siempre República ❤️💛💜💪👏👏👏🙌🙌🙌,[0. 0. 0. ... 0. 0. 0.],siempr blica,0.0
80,4mMkLK7khPY,UCgW7xHsCcD7fCUpo0g0OkeA,La mayoría no saben lo que quieren,[0. 0. 0. ... 0. 0. 0.],mayor saben quieren,0.0
81,4mMkLK7khPY,UCet4CrgT5eUA3zRRMIUeBpw,"El pueblo granadino es muy sabio.
Prefieren que sea todo el pueblo español el que decida sobre Monarquía o República, de manera libre y democrática ,en un referéndum.
Aunque El Gran Marqués de Croix lo dijo de manera muy clara, en el siglo XVIII: ""Los súbditos sólo han nacido para callar y para obedecer...No están para discutir los Asuntos Públicos que sólo le competen al Gran Soberano...""",[0. 0. 0. ... 0. 0. 0.],pueblo granadino sabio prefieren pueblo espa decida monarqu blica manera libr democr tica refer ndum aunqu gran marqu croix dijo manera clara siglo xviii bdito nacido callar obedec discutir asunto blico competen gran soberano,0.0
82,4mMkLK7khPY,UCrJzPfEHQ_Sbc4SXWCFdvqA,"La monarquía es en definición España… 
El Estado surgió con la unión de dos reyes quienes delegaron un territorio unido a su hija y a sus descendientes.. Los Habsburgo y los Borbónes 
Sin monarquia lo correcto es que cada territorio pueda ser independiente ya que la corona es la unión de gran parte de la península bajo un gobernante de legítima herencia… obviamente monarcas católicos millones de españoles dieron sus vidas defendiendo la fe católica por europa pero ya los tiempos donde la iglesia tenga un peso en el estado no es necesario más que algo cultural y representativo.",[0. 0. 0. ... 0. 0. 0.],monarqu definici espa surgi rey delegaron territorio unido hija descendient habsburgo borb monarquia correcto cada territorio pueda independient corona gran part nsula bajo gobernant tima herencia obviament monarca lico millon espa ole dieron vida defendiendo lica europa tiempo iglesia peso necesario cultur representativo,0.0
84,4mMkLK7khPY,UCN5HJttR33YtoLow6N0Ab7A,"Venga que se pongan todos los monarcas a trabajar, en el campo.",[0. 0. 0. ... 0. 0. 0.],venga pongan monarca trabajar campo,0.0
85,4mMkLK7khPY,UCApJd3w-i1TXXJewGlxeW9g,"Manteniendo princesas y principes, que esten forrados en euros. Jijiiii.",[0. 0. 0. ... 0. 0. 0.],manteniendo princesa princip esten forrado euro jijiiii,0.0
86,4mMkLK7khPY,UCy9zqGmAszfSbmuDtB6JAXw,MONARQUÍA??? QUE PINTAN LOS MILLONES QUE TIENEN LAS DOS NIÑAS DIABOLICAS EN EL BANCO? AHHH PERO LUEGO NO HAY PARA LAS PENSIONES OSTIA TU!,[0. 0. 0. ... 0. 0. 0.],monarqu pintan millon diabolica banco ahhh luego pension ostia,0.0
91,4mMkLK7khPY,UCns0pqXmf5l2gMDyasWzyMw,En España tenemos que dejarnos de gilipolleces. Instaurar la democracia formal y la republica constitucional.,[0. 0. 0. ... 0. 0. 0.],espa dejarno gilipollec instaurar democracia formal republica constitucion,0.0
93,4mMkLK7khPY,UC7KX0A96GNJGGo2Lo1JK3Yw,Mejor dictadura,[0. 0. 0. ... 0. 0. 0.],mejor dictadura,0.0
94,4mMkLK7khPY,UCLChT9MUUlDQxq6_uYksALw,"Jóvenes republicanos que no han vivido la república... Es más, no saben ni siquiera argumentar solidamente su decisión; creen que la república es güay y ""actual style""",[0. 0. 0. ... 0. 0. 0.],vene republicano vivido blica saben siquiera argumentar solidament decisi creen blica actual style,0.0
95,4mMkLK7khPY,UCU8WAzA4OfaofVfqmE4Qo8A,🟥🟨🟪 III República ya!,[0. 0. 0. ... 0. 0. 0.],blica,0.0
96,4mMkLK7khPY,UC6ViKRdb0RmIzpRPNbhdtLw,"España no puede vivir sin rey, la historia lo demuestra",[0. 0. 0. ... 0. 0. 0.],espa pued vivir historia demuestra,0.0
99,4mMkLK7khPY,UCjKU_2ELBRUo0v7cwicFCSQ,Tanto dinero q se ganan por hacer nada,[0. 0. 0. ... 0. 0. 0.],dinero ganan hacer,0.0
100,S1-wpBi4uDM,UClFN31ITI9XGmBtBTxjrJVA,Con el antiguo rey si con Felipe no,[0. 0. 0. ... 0. 0. 0.],antiguo felip,0.0
103,S1-wpBi4uDM,UCgedAVsfxm8p2U3dhPsTVpg,Venga referéndum ya¡¡¡ la democracia es para ellos. No hay democracia si no hay referéndum. Es una dictadura sorda,[0. 0. 0. ... 0. 0. 0.],venga refer ndum democracia democracia refer ndum dictadura sorda,0.0
106,S1-wpBi4uDM,UCgPbPNEzjRNF6vowWZQoGsQ,"En España, la minoría que reclama republica se divide en dos bandos y eso deben tenerlo claro. Hay un tipo de republica democrática como Alemania, Francia o Italia pero los comunistas que desean proclamar la republica y derrocar a nuestro Rey, lo que anhelan es una republica comunista dictatorial y no democrática.",[0. 0. 0. ... 0. 0. 0.],espa minor reclama republica divid bando deben tenerlo claro tipo republica democr tica alemania francia italia comunista desean proclamar republica derrocar anhelan republica comunista dictatori democr tica,0.0
107,S1-wpBi4uDM,UCI7bXCc2lvMHzoc6_28zOlA,"viva el REY NO DE ESPAÑA!! POR SIEMPRE!""! SALUDOS DESDE EL VIRREINATO DEL PERU!!!... ojalá jamás nos hubiéramos separado de España. La república es una basura .. lo digo yo que vive en una",[0. 0. 0. ... 0. 0. 0.],viva espa siempr saludo virreinato peru ojal hubi ramo separado espa blica basura digo vive,0.0
113,S1-wpBi4uDM,UCJgMPJGJ0VM77ngJZx-LO2Q,Que sale mas barata la republica😂😂😂😂😂😂(350millones se habla),[0. 0. 0. ... 0. 0. 0.],sale barata republica millon habla,0.0
114,S1-wpBi4uDM,UCv8DpCESee5njpnnBwYvGrw,"1:00 ""La republica es mucho más barata""
- República portu: 16 millones €
- República alemana: 20 millones €
- República de francesa: 103 millones €
- República italiana: 228 millones €

- Monarquía española: 8 millones €
- Monarquía sueca: 12, 76 millones €
- Monarquía danesa: 13, 3 millones €
- Monarquía noruega: 25, 6 millones €",[0. 0. 0. ... 0. 0. 0.],republica barata blica portu millon blica alemana millon blica francesa millon blica italiana millon monarqu espa millon monarqu sueca millon monarqu danesa millon monarqu noruega millon,0.0
115,S1-wpBi4uDM,UCTk4CfBQvT44r8mGloPTRRg,CABRONÉS,[0. 0. 0. ... 0. 0. 0.],cabron,0.0
116,S1-wpBi4uDM,UCTk4CfBQvT44r8mGloPTRRg,VIVA MÉXICO,[0. 0. 0. ... 0. 0. 0.],viva xico,0.0
118,S1-wpBi4uDM,UCdOoglA73Rvg15_jxk4TSbQ,Algunos argumentos demuestran el poco conocimiento que se tiene real de esta institución....,[0. 0. 0. ... 0. 0. 0.],argumento demuestran conocimiento real instituci,0.0
119,S1-wpBi4uDM,UCUtW5qbs20TgDBJ2_58sEVQ,"Muy mal lo que dice esa mujer de que la república es más barata, como que no sabe nada sobre ella. La república es más cara ya que ni tiene complementos que no tiene la monarquía y aparte si una persona ha sido presidente de la república tiene una paga de por vida",[0. 0. 0. ... 0. 0. 0.],dice mujer blica barata sabe blica cara complemento monarqu apart persona sido president blica paga vida,0.0
120,nznqqPKN3gM,UCx4lbqHz-4XZGT2evhuH9Ag,"Republicanos de tres al cuarto, abrid un libro.",[0. 0. 0. ... 0. 0. 0.],republicano tre cuarto abrid libro,0.0
121,nznqqPKN3gM,UCVozh78b3nGoXhc0qRP8lBw,"Franc Nicolás, tienes talento yo de ti me haría fichar en algun escaparate donde se subsane tu persona. O sea algo que de a entender q las cosas viejas sin cosas de infancia. No vivas del pequeño nicolas. Es una pena desoerdiciar tu talento en esta sociedad q no te pueden dirar ni una piedra",[0. 0. 0. ... 0. 0. 0.],franc nicol talento fichar algun escapar subsan persona entend cosa vieja cosa infancia viva pequ nicola pena desoerdiciar talento sociedad pueden dirar piedra,0.0
122,nznqqPKN3gM,UCjAlblMwSR0EHu6bVOIPuKA,"la comida es la misma... jamón navidul, paté del mercadona, y unos esparragos  Carretilla...Claro! 
yo creo que comen ""niños"" después de follarselos",[0. 0. 0. ... 0. 0. 0.],comida misma navidul mercadona esparrago carretilla claro creo comen despu follarselo,0.0
125,nznqqPKN3gM,UCwGijSZSEgPllTsP1DvwkbQ,"Muy buenos estos chavalines eh , dales tiempo a que lleven más gente a los podcast.
Una cosa importante que tienen que aprender es a dejar desarrollar al invitado que hable lo que sea completo mientras apuntan las cosas que le quieren debatir. Así por ejemplo al papanatas este se le desmontarla todo lo que dice por si solo",[0. 0. 0. ... 0. 0. 0.],bueno chavalin dale tiempo lleven gent podcast cosa important aprend dejar desarrollar invitado habl completo mientra apuntan cosa quieren debatir ejemplo papanata desmontarla dice solo,0.0
128,nznqqPKN3gM,UCtGp98QJ5rDRCjIFJYbq99g,Yo prefiero un contrapeso en la jefatura que un cargo político mas…,[0. 0. 0. ... 0. 0. 0.],prefiero contrapeso jefatura cargo tico,0.0
130,nznqqPKN3gM,UCNV1cVvE7etACKJKzAU-KJA,El Rey ya es Jefe de Estado. La figura de Jefe de Estado la puede ostentar tanto un Rey como un Presidente de la República.,[0. 0. 0. ... 0. 0. 0.],jefe figura jefe pued ostentar president blica,0.0
132,nznqqPKN3gM,UCRkmoSByPtzoJ79lK7uusdg,Lo mejor es que se lo cree i todo. 😂 Personaje de la España 🇪🇸 profunda,[0. 0. 0. ... 0. 0. 0.],mejor cree personaj espa profunda,0.0
139,nznqqPKN3gM,UCSiKpPT6RPQrhDWB2awTJ9g,Tiene money tiene cash el pequeño Nicolás,[0. 0. 0. ... 0. 0. 0.],money cash pequ nicol,0.0
