,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
44,aXLB8r1t8ec,UCnpHDtfFUEDoQTZt8KPM01g,Que pesados los cuñaooos ….,[0. 0. 0. ... 0. 0. 0.],pesado aooo,0.0
49,aXLB8r1t8ec,UCx7d6y_s1yCUvJkBzJ8F_6g,Espero los pierda,[0. 0. 0. ... 0. 0. 0.],espero pierda,0.0
53,aXLB8r1t8ec,UCX28zNJP5Et0qBjNNpERwIA,Hombre está claro aprovechando van a desviar fondos,[0. 0. 0. ... 0. 0. 0.],hombr claro aprovechando desviar fondo,0.0
54,aXLB8r1t8ec,UCa5FbUCuj2Ufw6QzBmhrJnA,"No es pequeña objeción … es muy importante.  Amnistía e indulto es distinto .   El indulto es una prerrogativa del gobierno de perdón a un criminal… es decir alguien enjuiciado y condenado … Amnistía, se da en un cambio de régimen .., en españa en 1977,  pero desde que hay “ constitución “ en España en 1978, en un estado estado democrático y con separación de poderes … el poder judicial es quien dice si hay delito en unos hechos cometidos o no…. Luego ya vendrán los indultos .. o no!   Pero no se pueden dejar de perseguir delitos porque el ejecutivo o legislativo así lo digan….",[0. 0. 0. ... 0. 0. 0.],pequ objeci important amnist indulto distinto indulto prerrogativa gobierno perd crimin decir alguien enjuiciado condenado amnist cambio gimen espa constituci espa democr tico separaci poder poder judici dice delito hecho cometido luego vendr indulto pueden dejar perseguir delito ejecutivo legislativo digan,0.0
57,aXLB8r1t8ec,UC6o_ckmEk87f7TiViatW11w,Pero  lo que pedro sánchez dice de quien depende la justicia? Y contesta del gobierno. Si la justicia de pende de gobierno ¿para que tenemos tribunal constitucional y ya está decido pues el tribunal constitucional dirá lo que pedro sánchez quiera,[0. 0. 0. ... 0. 0. 0.],pedro nchez dice depend justicia contesta gobierno justicia pend gobierno tribun constitucion decido pue tribun constitucion pedro nchez quiera,0.0
65,ESCHnb7VfnY,UCBZoxeioDe63pU76CQf3-OQ,"Hablad del caso Kitchen ...
""Ánimo Luis ... se fuerte ... """,[0. 0. 0. ... 0. 0. 0.],hablad caso kitchen nimo lui fuert,0.0
68,ESCHnb7VfnY,UCbuHBqEW0JdjRhIyVIl6bpQ,"Na GALIZA, non son de recibo españois como el declara ser.
A Rañala por aí.",[0. 0. 0. ... 0. 0. 0.],galiza recibo espa declara,0.0
72,ESCHnb7VfnY,UCuAU6B7HW2-WgccN8lCOdJA,"La Constitución NO prohíbe aprobar amnistías. No culpéis a Sánchez. No existe prohibición alguna. Según los principios jurídicos nadie está impedido de hacer lo que la ley no prohibe. Punto, fin de la discusión.",[0. 0. 0. ... 0. 0. 0.],constituci proh aprobar amnist culp nchez exist prohibici alguna principio dico nadi impedido hacer prohib punto discusi,0.0
73,ESCHnb7VfnY,UCB1iKUEiKJr3RQlnXRO1Kgw,"NO A LA AMNISTÍA.  NO A PERDONAR O CONDONAR  LA DEUDA CATALANA, PORQUE LA PAGARIAMOS TODOS Y O ESE DINERO LO QUITARIAN DE OTRAS COSAS LO CUAL ALGUIEN SALDRA PERJUDICADO IRREMEDIABLEMENTE..... Y Siiiiiii  A NUEVAS ELECCIONES . Esto es lo justo para todos y para las demás comunidades. Ahora estamos hablando del presente , y esto es lo correcto, y se puede solucionar CON  NUEVAS ELECCIONES . teniendo en cuenta que mucha gente no voto en vacaciones y que está vez  será definitivo.   Y además el pueblo tiene y deve decidir con sus votos .",[0. 0. 0. ... 0. 0. 0.],amnist perdonar condonar deuda catalana pagariamo dinero quitarian cosa alguien saldra perjudicado irremediablement siiiiiii nueva eleccion justo comunidad ahora hablando present correcto pued solucionar nueva eleccion cuenta mucha gent voto vacacion definitivo adem pueblo deve decidir voto,0.0
80,-xFqEigRo4w,UCZZVspFcrkDSVXcVEjeumBA,"Lo mas facil y rapido es cargarse a sanchez votandole en contra,se cabtearia mucho pero ya no tendria poder para hacer nada,separado del poder no es nada,muchos se sumarian a ese grupo y se harian nurvas el rey cciones cuando les fuera bien,se tepartirian poder con rl pp u s vivir",[0. 0. 0. ... 0. 0. 0.],facil rapido cargars sanchez votandol cabtearia tendria poder hacer separado poder sumarian grupo harian nurva ccion bien tepartirian poder vivir,0.0
81,-xFqEigRo4w,UCGk37UjUQ91vJvI5ahtHbkA,no habrá Amnistía...todos los jueces que la avalen....irán a la cárcel .  ...cómo Compayn,[0. 0. 0. ... 0. 0. 0.],habr amnist juec avalen rcel compayn,0.0
82,-xFqEigRo4w,UChYbu4ML6m5VWHwjGl1S9cA,Pronto vamos a la dictadura comunista.,[0. 0. 0. ... 0. 0. 0.],pronto vamo dictadura comunista,0.0
84,-xFqEigRo4w,UCZghgpZX3OqFvU95OYwfBcw,Es inconstitucional y Sánchez  & co tambien,[0. 0. 0. ... 0. 0. 0.],inconstitucion nchez tambien,0.0
85,-xFqEigRo4w,UCXv1plcDGaKc6e_eEPswy4g,"Seguro que Publico les encuentra una solución a los de izquierda,...",[0. 0. 0. ... 0. 0. 0.],seguro publico encuentra soluci izquierda,0.0
87,-xFqEigRo4w,UCOZZ8n7kDaNTpV3ytWP1PVQ,Letizio  I  ni  se  le  ve  ni  se  le  espera. Le  aconsejaría  que  haga  las  maletas  mientras  pueda,[0. 0. 0. ... 0. 0. 0.],letizio espera aconsejar haga maleta mientra pueda,0.0
90,-xFqEigRo4w,UCVFZ7yxA_ukWz2fQGnJV5HA,Si yo fuera la madre de Sánchez estaría preocupada por mi futuro y mi mas que posible venta,[0. 0. 0. ... 0. 0. 0.],madr nchez preocupada futuro posibl venta,0.0
91,-xFqEigRo4w,UCr7uORPicRYRKk9K37f8RKg,"No hay resultado legítimo de ningunas elecciones, Sánchez negaba la amnistía el 23J, y el asunto es de tanto calado, afectando al ordenamiento jurídico que nos controla a todos, que no puede continuar sin consultar al pueblo soberano. Esto no es lo que se ha votado, son un grupo de partidos con programas y fines distintos, se han cogido los votos de cada uno y se ha creado un nuevo ente con distinto fin al que las partes ofrecían. Que no os engañen. Sólo quedan las calles y los tribunales. Y más pronto que tarde, saldrán...",[0. 0. 0. ... 0. 0. 0.],resultado timo ninguna eleccion nchez negaba amnist asunto calado afectando ordenamiento dico controla pued continuar consultar pueblo soberano votado grupo partido programa fine distinto cogido voto cada creado nuevo ent distinto part ofrec enga quedan call tribunal pronto tard saldr,0.0
92,-xFqEigRo4w,UCPEy1pbbBUtAe1kGkr2Q8aw,Q hace el rey  quien para a Sánchez,[0. 0. 0. ... 0. 0. 0.],hace nchez,0.0
93,-xFqEigRo4w,UCPEy1pbbBUtAe1kGkr2Q8aw,Este hombre es hermano de putin se vende al diablo por votos,[0. 0. 0. ... 0. 0. 0.],hombr hermano putin vend diablo voto,0.0
96,-xFqEigRo4w,UCDV6Mru8Y1Syj2m5wZ81eKA,"Otro video manipulador pagado por las cloacas del Estado Social Comunista, esto ya ha pasado en la televisiones de Venezuela, calcados los argumentos. Además que el Tribunal Constitucional esta completamente colonizado por los Social Comunistas, lo mismo que Venezuela. España VS Venezuela  ¿Quién dijo? Esto no puede pasar aquí, también lo dijeron los Venezolanos esto no es Cuba. A Europa esto le viene genial, se quita un competidor en materia económica, porque las empresas se van al ""guano"" además con mas deudas pisándonos el cuello a todos los que pagamos impuestos. ¡¡Viva la República Chavista/Sanchista de Españezuela.!! Diario Público Ignacio Escolar IZQUIERDA Ideología política - Socialismo democrático Republicanismo en el socialismo no existe ""LA DEMOCRACIA"", todos los países que eran de la Unión Soviética - ejemplo: República Democrática Alemana- Eran mas rojos que el tomate...",[0. 0. 0. ... 0. 0. 0.],video manipulador pagado cloaca social comunista pasado television venezuela calcado argumento adem tribun constitucion completament colonizado social comunista mismo venezuela espa venezuela dijo pued pasar tambi dijeron venezolano cuba europa vien genial quita competidor materia econ mica empresa guano adem deuda ndono cuello pagamo impuesto viva blica chavista sanchista espa ezuela diario blico ignacio escolar izquierda ideolog tica socialismo democr tico republicanismo socialismo exist democracia sovi tica ejemplo blica democr tica alemana rojo tomat,0.0
98,-xFqEigRo4w,UCGVNBw35-LdeX7clybCsUHA,"No se puede, lo dijo Pedro Sánchez.
Jajajaja!",[0. 0. 0. ... 0. 0. 0.],pued dijo pedro nchez jajajaja,0.0
99,-xFqEigRo4w,UCivA5PtXCNO0kNfNWyTjs9A,"NO SE APRUEBA ,SI EL PUEBLO ESPAÑOL.   PARA.   .
     PUEBLO.  UNIDO  JAMAS.   SERA.  VENCIDO.  ,CARAJO 
       EL PUEBLO.   ESPAÑOL.  TIENE.    VOZ. ,VOTO.  Y PUEDE PARAR  ,   SANCHEZ Y     SUS  LACAYOS.  SON.   EMPLEADOS PUBLICOS. , e dicho.  carajo",[0. 0. 0. ... 0. 0. 0.],aprueba pueblo espa pueblo unido jama sera vencido carajo pueblo espa voto pued parar sanchez lacayo empleado publico dicho carajo,0.0
101,r5FCVyuH99M,UCeEXrPQ93phwVegzj1QfiZg,se van ir a la cárcel por listos,[0. 0. 0. ... 0. 0. 0.],rcel listo,0.0
109,r5FCVyuH99M,UCBZoxeioDe63pU76CQf3-OQ,"El mandato de los miembros del CGPJ ESTA CADUCADO.
Y todavía se atreven a emitir ""declaraciones"" ...
La LOPJ no les autoriza a emitir declaraciones en contra del Gobierno o de las decisiones que tome el Gobierno.
Vayanse ya del CGPJ ... dimitan ...
Respeten la ley ... si, la misma ley que dice que el CGPJ DEBE RENOVARSE ... Su mandato ya ha caducado ... 
VAYANSE YA ..  Y RESPETEN LA SEPARACION DE PODERES ...",[0. 0. 0. ... 0. 0. 0.],mandato miembro cgpj caducado todav atreven emitir declaracion lopj autoriza emitir declaracion gobierno decision tome gobierno vayans cgpj dimitan respeten misma dice cgpj debe renovars mandato caducado vayans respeten separacion poder,0.0
112,r5FCVyuH99M,UCxPbVTMbSz4wSH9evFqYbQg,"Enbusteros, parte de CGPJ no: LA MAYORIA",[0. 0. 0. ... 0. 0. 0.],enbustero part cgpj mayoria,0.0
118,r5FCVyuH99M,UCqYT0gZ-OTuk-pbXvlh3PkA,Muchos medios y periodistas debería pagar por cómplices.,[0. 0. 0. ... 0. 0. 0.],medio periodista deber pagar mplice,0.0
121,9bcqPkMUO78,UC7bK6G9DNXpbCmWu_msrSaA,"El ""proyecto europeo"" solo es una dictadura de porquería jajajajajajajajaja",[0. 0. 0. ... 0. 0. 0.],proyecto europeo solo dictadura porquer jajajajajajajajaja,0.0
124,9bcqPkMUO78,UC5mxG3k6gHOD2y0zv3i2Saw,No es raro que se quieran ir los catalanes lo raro es que no se quiera ir nadie mas,[0. 0. 0. ... 0. 0. 0.],raro quieran catalan raro quiera nadi,0.0
127,9bcqPkMUO78,UCDalhDZ7RFc7nP8b8iFzfEg,Esta amnistía  termina con nuestro  derecho  de constitución  .y Democracia  ....esto no es de derecha  ni de izquierda  .es que pedro Sánchez  vende nuestro Democracia  por su poder ..esto es un golpe de estado.....,[0. 0. 0. ... 0. 0. 0.],amnist termina derecho constituci democracia derecha izquierda pedro nchez vend democracia poder golp,0.0
131,9bcqPkMUO78,UC56ZQnMsChi-_qFCWsd8Cnw,Free Catalonia = democracy,[0. 0. 0. ... 0. 0. 0.],free catalonia democraci,0.0
133,9bcqPkMUO78,UCwOk2pMlHKpA3-MMQ5-rLrg,Acabo de ver a las portavoces del PP yVOX y alucino como venden la moto !! Aller vi el debate y les an dicho muy claro que primero tiene que botarse y aprobar en España y si hay algún problema tiene que filtrarse por el tribunal Supremo y si hay alguna anomalía podría pasar a tribunal Supremo luego no hay causa hasta que la ley haga su recorrido legal!! Entonces de qué abla la derecha ultra de vender la moto sin tener gasolina son unos jilipoyas haciendo el jilipoyas que es lo único que saben hacer .,[0. 0. 0. ... 0. 0. 0.],acabo portavoc yvox alucino venden moto aller debat dicho claro primero botars aprobar espa problema filtrars tribun supremo alguna anom podr pasar tribun supremo luego causa haga recorrido legal entonc abla derecha ultra vender moto tener gasolina jilipoya haciendo jilipoya nico saben hacer,0.0
135,9bcqPkMUO78,UCTyMygy3j5h98SaOkkBqG2Q,"El psoe miente no hay reconciliación, sino hay perdón y encima dicen que lo volveran hacer.Decidselo al Comisario que parece ser no se entera.Yo le diría a Bukele saca a todos los Maras de la cárcel que hay muchoscomo un gesto de conciliación y vayan con sus familias.Pero lo volverán hacer Decírselo al Comisario y  esta diputada europea del psioe que no se enteran o no quieren enterarse.",[0. 0. 0. ... 0. 0. 0.],psoe mient reconciliaci sino perd encima dicen volveran hacer decidselo comisario parec entera bukel saca mara rcel muchoscomo gesto conciliaci vayan familia volver hacer rselo comisario diputada europea psioe enteran quieren enterars,0.0
138,9bcqPkMUO78,UCAIKorqeTYdpW6nj-tZ58HQ,Cual tenemos que creer la de ayer o la de hace un año cambio de opinión jjjjjj,[0. 0. 0. ... 0. 0. 0.],creer ayer hace cambio opini jjjjjj,0.0
143,nfYacdKKOUc,UCqHDEkDwnEVha1wiYc0kPlw,"El africano éste habla de legado, de qué legado de africa su legado en todo caso . Otra cosa; las feministas dejan entrar a medio africa y después los negros votan a vox. 
LOL",[0. 0. 0. ... 0. 0. 0.],africano habla legado legado africa legado caso cosa feminista dejan entrar medio africa despu negro votan,0.0
145,nfYacdKKOUc,UCBvsewmCkmrdC8uNDPjrpaQ,No es una lección sino una opinión,[0. 0. 0. ... 0. 0. 0.],lecci sino opini,0.0
154,nfYacdKKOUc,UCxuBTmHQermd5LWaRm1qjOg,Esa peineta nos representa a muchos.,[0. 0. 0. ... 0. 0. 0.],peineta representa,0.0
155,nfYacdKKOUc,UC2z3dNsAXFEsrtznKVcvFtQ,Quien es esa golfa ??,[0. 0. 0. ... 0. 0. 0.],golfa,0.0
157,nfYacdKKOUc,UC9bcQOf7pmduhdhhHSaB7Rw,Terrorista en el parlamento,[0. 0. 0. ... 0. 0. 0.],terrorista parlamento,0.0
158,nfYacdKKOUc,UCCSx6KKKg9V_GfFohO_4zUQ,Ese ser debería de estar fuera del congreso ! Dónde estamos llegando 🤦‍♀️,[0. 0. 0. ... 0. 0. 0.],deber congreso llegando,0.0
159,nfYacdKKOUc,UCEwv-ZID8d4wmBG01T40w8g,¿Y a esta no la echan del parlamento?,[0. 0. 0. ... 0. 0. 0.],echan parlamento,0.0
163,wE_mhtupxhI,UC7No7hnW11KIiZJNC7DXafg,FUERTE NO EN TODO CASO EL PODER JUDICIAL LA CORTE SUPREMA O CORTE CONSTITUCIONAL DE CADA PAÍS ES EL QUE TIENE ÉSA GRAN RESPONSABILIDAD,[0. 0. 0. ... 0. 0. 0.],fuert caso poder judici cort suprema cort constitucion cada gran responsabilidad,0.0
164,wE_mhtupxhI,UC7No7hnW11KIiZJNC7DXafg,EL PODER DE AMNISTÍA NO QUE PASA HOY EN ESPAÑA UNA LEY QUE PROPONE EL LEGISLATIVO Y TIENE QUE APROBAR EL EJECUTIVO UNA LEY QUE ES UN INDULTO Y DERECHO DE GRACIA ???  EL CUAL EL ÚNICO PODER QUE PUEDE APROBAR TAL RESOLUCIÓN ES EL PODER JUDICIAL LA CORTE SUPREMA O CORTE CONSTITUCIONAL DE CADA PAÍS EL PODER MÁXIMO EN CASOS DE EMERGENCIA SALIDA DE GOBIERNO O INESTABILIDAD POLÍTICA EN EL PAÍS AMNISTÍA FISCAL LA CUAL PIDE SÁNCHEZ Y ES POR ESO EL ENOJO DEL PUEBLO Y PROTESTAS EN CALLES HASTA DE LOS MISMOS DERECHISTAS PARTIDARIOS RECHAZÓ TOTAL 🤔🤔🤔🤔 LA AMNISTÍA PERMITE A UN PODER SEGUIR GOBERNANDO SIN RESPETAR QUE SE ÉSTE EN UN ESTADO DE DERECHO DEMOCRÁTICO LO CUAL EXISTE UN ACUERDO ENTRE EL 2012 HASTA EL 2023 DE PSOE Y JUNTS PER CA....SE TERMINO O SIGUE??? Y SE PRETENDE SEGUIR CONTANDO CON ÉSTE DERECHO ANTICONSTITUCIONAL Y QUE SÓLO EL PODER 117 QUÉ SON LOS JUECES QUE ESTÁN LLAMADOS A QUITAR O ECHAR ATRÁS Y A PERMITIR QUE EL PRESIDENTE SIGA ACTUANDO🤔🤔Y CUALES SON LOS CANDIDATOS PUEBLO OJO NO ULTRAS 🙄🙄🙄🙄 ES COMO SE DIRÍA QUIERO UN JUICIO POLÍTICO Y EN ÉSE MOMENTO DICE MUERTE CRUZADA PARA LIBRAR EL JUICIO Y SEGUIR GOBERNANDO SIN UNA INVESTIGACIÓN 🤔🤔🤔🤔 Y LO CUAL EN PROTESTA SE PIDE A UN JOVEN ARRAJON DECIR SOMOS LIBRES TODOS O NO ES LIBRE NINGUNO🤔🤔🤔 NO EXISTE UN ESTADO DE DERECHO DEMOCRÁTICO??? NO HAY UN LUGAR PARA LO LGBTI + EL RACISMO ETC ETC 🤔🤔🤔🤔,[0. 0. 0. ... 0. 0. 0.],poder amnist pasa espa propon legislativo aprobar ejecutivo indulto derecho gracia nico poder pued aprobar resoluci poder judici cort suprema cort constitucion cada poder ximo caso emergencia salida gobierno inestabilidad tica amnist fiscal pide nchez enojo pueblo protesta call mismo derechista partidario rechaz total amnist permit poder seguir gobernando respetar derecho democr tico exist acuerdo psoe junt termino sigu pretend seguir contando derecho anticonstitucion poder juec llamado quitar echar permitir president siga actuando cual candidato pueblo ultra quiero juicio tico momento dice muert cruzada librar juicio seguir gobernando investigaci protesta pide joven arrajon decir libr libr ninguno exist derecho democr tico lugar lgbti racismo,0.0
168,wE_mhtupxhI,UCM0TbvReKkDj7chIT_FQrSg,"Cuando se trata de defender lo que todos los españoles acordamos en la constitucion, o somos todos los que acordemos cambiarla, o habra que defenderla a toda costa, ya cualquier precio, y con todos los medios contra aquellos que quieren cambiarla unilateralmente, mayoria parlamentaria o no.",[0. 0. 0. ... 0. 0. 0.],trata defend espa ole acordamo constitucion acordemo cambiarla habra defenderla toda costa cualquier precio medio aquello quieren cambiarla unilateralment mayoria parlamentaria,0.0
171,wE_mhtupxhI,UCgg3KhT7TfipyyeWPXhmWig,"La amnistía es una medida de gracia, lo que hace Sánchez es un intercambio comercial.",[0. 0. 0. ... 0. 0. 0.],amnist medida gracia hace nchez intercambio comerci,0.0
172,wE_mhtupxhI,UCxyVnRLd94jCE_rqzu90CBA,Wow! Qué manera de explicar. La amé. Gracias quedé sin dudas.,[0. 0. 0. ... 0. 0. 0.],manera explicar gracia qu duda,0.0
176,wE_mhtupxhI,UCVUolgcwVpIVLFc3zlhKW5g,Que cosas,[0. 0. 0. ... 0. 0. 0.],cosa,0.0
177,wE_mhtupxhI,UC13m9fuytXEO4XxMJWmohCw,Hay que colgar al felón y a los de Prisa.,[0. 0. 0. ... 0. 0. 0.],colgar prisa,0.0
178,wE_mhtupxhI,UCe8YBIBYSkF-QoXKc-3xkdQ,"En resumen, hay Amnistía.....",[0. 0. 0. ... 0. 0. 0.],resumen amnist,0.0
181,bLYiYTQNxO0,UCKfSupMDB3HKfaI6mcBg0qQ,Golpistas,[0. 0. 0. ... 0. 0. 0.],golpista,0.0
183,bLYiYTQNxO0,UCWFDqO02bLPRe4NKEm-EHuQ,A rabiar fachas!!!!,[0. 0. 0. ... 0. 0. 0.],rabiar facha,0.0
185,bLYiYTQNxO0,UClLAdtCD57r5qrn6cmiCzWg,LEY DE ASMISTIA LEY DE SESUALIDA SOCIALCOMUNISMO .POR FABOR DAME CLASES,[0. 0. 0. ... 0. 0. 0.],asmistia sesualida socialcomunismo fabor dame clase,0.0
190,bLYiYTQNxO0,UCZJB1wsU7CKtEWN-IeG93YQ,El Fascismo se revuelve en su ira. Arriba los pueblos del mundo,[0. 0. 0. ... 0. 0. 0.],fascismo revuelv arriba pueblo mundo,0.0
194,bLYiYTQNxO0,UC3alAFcprvIVYRDE4pOxwOQ,"Si hay cojones, ELECCIONES!!!❤️❤️",[0. 0. 0. ... 0. 0. 0.],cojon eleccion,0.0
197,bLYiYTQNxO0,UCzUrMfMRL3eMELOo3WqP-rQ,"Este memito esta haciendo meritos, g. Bolaños",[0. 0. 0. ... 0. 0. 0.],memito haciendo merito bola,0.0
198,bLYiYTQNxO0,UC5MlU7rb9E15X5BRZFyjjlw,UN ESTADO DEMOCRATICO ES IGUALDAD DE AMNISTIA PARA PRESOS COMUNES.,[0. 0. 0. ... 0. 0. 0.],democratico igualdad amnistia preso comun,0.0
203,NwqXRvcknFE,UCBn4vIcGm6Kb6LkwBMLwPLg,Que disparate....,[0. 0. 0. ... 0. 0. 0.],dispar,0.0
204,NwqXRvcknFE,UC_dfdUcHvbr6dSD8sG-eiLg,"Donde dije digo, digo amnistía",[0. 0. 0. ... 0. 0. 0.],dije digo digo amnist,0.0
