,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggresive
10,16,WdtyLi2wBDs,UCZ8evI8k1tPsRAfxByLoa8g,"Que mentalidad tan chiquita con estos tíos....nos roban de un lado y está mal,pero si nos roba el rey esta bien...la esclavitud en España se perpetúa.",[0. 0. 0. ... 0. 0. 0.],mentalidad chiquita roban lado roba bien esclavitud espa perpet,0.0,0.41596391797065735,0.14770613610744476,0.15674419701099396
11,21,4i2m9Z47ETc,UCzT5hSUdv1qk40obikDb5Ew,Para que sirve un Rey?,[0. 0. 0. ... 0. 0. 0.],sirv,0.0,0.04548950865864754,0.028721798211336136,0.03216489776968956
12,22,4i2m9Z47ETc,UCgW7xHsCcD7fCUpo0g0OkeA,Jaja se nota que la mayoría no saben cómo funciona una monarquía ni saben que es una república,[0. 0. 0. ... 0. 0. 0.],jaja nota mayor saben funciona monarqu saben blica,0.0,0.05121617391705513,0.01630229502916336,0.03397584706544876
13,23,4i2m9Z47ETc,UCvoOpGOmz8_fxg-xxVvOZMA,"¿Monarquía sí o no? No, ni de coña. (La rapidez con la que responden los primeros entrevistados, lo mejor)",[0. 0. 0. ... 0. 0. 0.],monarqu rapidez responden primero entrevistado mejor,0.0,0.06480606645345688,0.008934424258768559,0.027429800480604172
14,25,4i2m9Z47ETc,UCLmL-Kr6GqzslmI6_gc45Eg,Monarquía: NO!,[0. 0. 0. ... 0. 0. 0.],monarqu,0.0,0.06930378824472427,0.021386869251728058,0.0490088127553463
15,26,4i2m9Z47ETc,UCUivzTmOf_f8Wz33EqhJokg,"¿República como los países del tercer mundo?... No gracias.

La única república que ha funcionado es la de los Estados Unidos De América, ¿acaso quieren algo como México o las demás repúblicas de América latina?... Monarquía mil veces.",[0. 0. 0. ... 0. 0. 0.],blica tercer mundo gracia nica blica funcionado unido rica acaso quieren xico blica rica latina monarqu vece,0.0,0.36523905396461487,0.01644076406955719,0.10199809074401855
16,29,4i2m9Z47ETc,UC2JBocUxefcEa0CniYkLQBw,"""que se votó en su momento"", primero que está chiquita se informe y luego opine!",[0. 0. 0. ... 0. 0. 0.],momento primero chiquita inform luego opin,0.0,0.0612998865544796,0.018299084156751633,0.02767227776348591
17,33,4i2m9Z47ETc,UCPX5RdKviD4zsF4H7AVg-1w,"Andaluces de izquierdas: trabajadores, estudiantes, jornaleros, empleados públicos, ecologistas, defensores de los derechos humanos, pequeños autónomos, científicos, feministas, universitarios, maestros y profesores de la educación pública,sanitarios, comerciantes, cristianos de base, asalariados de grandes empresas,trabajadores del sector cultural, deportistas de base, trabajadores del turismo, de la hosteleria, del sector de energías renovables,  hombres y mujeres andaluces progresistas todos: hay que votar a la izquierda el 19 de junio a la opcion progresista de izquierdas que querrais, para que Andalucía sea una Comunidad de progreso, de educación, de trabajo, de cultura..cada voto de izquierdas cuenta...Ánimo!!!",[0. 0. 0. ... 0. 0. 0.],andaluc izquierda trabajador estudiant jornalero empleado blico ecologista defensor derecho humano pequ nomo cient fico feminista universitario maestro profesor educaci blica sanitario comerciant cristiano base asalariado grand empresa trabajador sector cultur deportista base trabajador turismo hosteleria sector energ renov hombr mujer andaluc progresista votar izquierda junio opcion progresista izquierda querrai andaluc comunidad progreso educaci trabajo cultura cada voto izquierda cuenta nimo,0.0,0.06787468492984772,0.011581892147660255,0.032074932008981705
18,38,4i2m9Z47ETc,UCQ5G8Qiy3NvBOHSBVtTiu-w,Lo mas higienico seria un referendum.,[0. 0. 0. ... 0. 0. 0.],higienico seria referendum,0.0,0.16489969193935394,0.014086958952248096,0.040334224700927734
19,44,KzSlyGHjTX8,UC_fHAdvtwwQISwuzaVN0FBw,Donde dice que aquí en España el poder lo tiene el Rey?,[0. 0. 0. ... 0. 0. 0.],dice espa poder,0.0,0.04172276705503464,0.02567003294825554,0.0207494106143713
20,45,KzSlyGHjTX8,UCgW7xHsCcD7fCUpo0g0OkeA,"Mmm pues no estas viendo todas su aristas la ventaja de un rey es que el o ella se prepara durante toda su vida para gobernar no exite en teoría mejor gobernante que un rey pues este estudia durante toda su vida para ello a diferencia de cualquier otro político.
La culpa no es de la monarquía como la plantea y si es facil que un gobierno entre y destroce a un pais ejemplo Venezuela, Korea del norte, cualquier otro pais de LATAM te lo puede confiar como sus republicas representativas constitucionales no funcionan",[0. 0. 0. ... 0. 0. 0.],pue viendo toda arista ventaja prepara toda vida gobernar exit teor mejor gobernant pue estudia toda vida ello diferencia cualquier tico culpa monarqu plantea facil gobierno destroc pai ejemplo venezuela korea nort cualquier pai latam pued confiar republica representativa constitucional funcionan,0.0,0.24330247938632965,0.015374707989394665,0.09701469540596008
21,47,KzSlyGHjTX8,UCMq51jQ3EBweqW6s6pbld8A,SÓLO PARA DEFENDER A LOS PODEROSOS.,[0. 0. 0. ... 0. 0. 0.],defend poderoso,0.0,0.06102941185235977,0.022660791873931885,0.04694502055644989
22,48,KzSlyGHjTX8,UCMq51jQ3EBweqW6s6pbld8A,👑 BY THE FACE.SWALLOW PEOPLE 💰,[0. 0. 0. ... 0. 0. 0.],face swallow peopl,0.0,0.07505910843610764,0.026950454339385033,0.04890022054314613
23,49,KzSlyGHjTX8,UCAJPS2S3yNW2RcNwgtgvW0w,Perdóname pero España no sería lo que es ahora sin los antepasados del Rey,[0. 0. 0. ... 0. 0. 0.],perd name espa ahora antepasado,0.0,0.01434803195297718,0.02230912633240223,0.015733299776911736
24,50,KzSlyGHjTX8,UC_u5XM-vyN1x4nhakqpviMg,En México  ya  quisiéramos volver a tener  nuestra familia real 👑 y estar  bajo una corona cristiana religiosa que  obligue a los infieles a creer en Dios,[0. 0. 0. ... 0. 0. 0.],xico quisi ramo volver tener familia real bajo corona cristiana religiosa obligu infiel creer dio,0.0,0.11362216621637344,0.027823280543088913,0.041076481342315674
25,54,KzSlyGHjTX8,UC12xU44H5P-Z46Z38eiHiFQ,"Monarquía mil veces, aparte que sale mucho más barato, da más prestigio,mejor tener ahí una dinastía que va a estar toda su vida ahi a no que un presidente q va a estar 4 años i se va a ir hará todo el dinero q pueda I luego otro I así todos los q pasen, en cambio la monarquía al estar toda su vida tiene más responsabilidades a la larga",[0. 0. 0. ... 0. 0. 0.],monarqu vece apart sale barato prestigio mejor tener dinast toda vida president dinero pueda luego pasen cambio monarqu toda vida responsabilidad larga,0.0,0.15645436942577362,0.017152495682239532,0.0790756419301033
26,55,KzSlyGHjTX8,UCq_5LSvXERQZSgEiKWt0CXg,viva el rey!,[0. 0. 0. ... 0. 0. 0.],viva,0.0,0.07896225899457932,0.058248721063137054,0.06141280010342598
27,58,KzSlyGHjTX8,UCopbQKbyyLII_YEqaq_-UBQ,Argentina es una republica y tiene tres Poderes judicial poder legislativo y poder ejecutivo todos por separados ninguno se sobrepone sobre otra . Cada una cumple su trabajo y son poderes independientes,[0. 0. 0. ... 0. 0. 0.],argentina republica tre poder judici poder legislativo poder ejecutivo separado ninguno sobrepon cada cumpl trabajo poder independient,0.0,0.044406335800886154,0.005796106997877359,0.018878530710935593
28,59,KzSlyGHjTX8,UCMErPMTjLGqNwELWHLeXqFw,Yo también sois de lo que piensa que un rey que pinta nada si hace muchimo más un presidente un rey vive como quiere por la cara sin hacer nada el y su familia hijos hermanos primos en fin,[0. 0. 0. ... 0. 0. 0.],tambi piensa pinta hace muchimo president vive quier cara hacer familia hijo hermano primo,0.0,0.01555726956576109,0.00791039690375328,0.008879329077899456
29,60,WGC0RtlEIUY,UC_Q7-uOJy3BPWjKNdATqrag,"📌PARA APOYAR AL CANAL: https://www.patreon.com/RubenHoodofSpain
📌PARA ADQUIRIR MI LIBRO: envíame un correo aquí: rubenhoodofspain@gmail.com",[0. 0. 0. ... 0. 0. 0.],apoyar canal http patreon rubenhoodofspain adquirir libro correo rubenhoodofspain gmail,0.0,0.013129140250384808,0.00698037538677454,0.00980862695723772
30,62,WGC0RtlEIUY,UCgW7xHsCcD7fCUpo0g0OkeA,Una república no es la respuesta para España,[0. 0. 0. ... 0. 0. 0.],blica respuesta espa,0.0,0.3495452105998993,0.3064657747745514,0.229251891374588
31,63,WGC0RtlEIUY,UCgW7xHsCcD7fCUpo0g0OkeA,No cabe la duda que en los comentarios la mayoría no entiende como funciona una monarquía contemporánea,[0. 0. 0. ... 0. 0. 0.],cabe duda comentario mayor entiend funciona monarqu contempor,0.0,0.03845689818263054,0.007600781973451376,0.01971169002354145
32,64,WGC0RtlEIUY,UCLausDKU2uutThc4CAjyFdw,"Claro, a los ricos no les conviene que tengan que tratar al trabajador con respeto y pagarles bien su salario, y su gobierno debe hacer su trabajo sirviendo al pueblo, por eso no les gusta la república, pero un día la monarquía caerá y España será libre!",[0. 0. 0. ... 0. 0. 0.],claro rico convien tratar trabajador respeto pagarl bien salario gobierno debe hacer trabajo sirviendo pueblo gusta blica monarqu caer espa libr,0.0,0.15646183490753174,0.010735617950558662,0.059316348284482956
33,65,WGC0RtlEIUY,UCfa8MrOLVlxzUBe2jPh08TQ,"Cuando ablamos de república lo asociamos erróneamete con marxismo o socialismo no tiene por qué ser así puede ser un república capitalista en la OTAN y en el EURO y no tenemos por toleral que un noble por un título socialmete sea superior en la jerarquía social cuando en Alemania los títulos han sido abolidos he integrados en los apellidos por qué un rey por ser rey tiene un coto de 15000 ectareas el Pardo porque un rey por ser jefe
de estado le pagan un sueldo ha su madre otro Asus hermanas y es legalmente inenjuiciable un saludo y un abrazo fuerte",[0. 0. 0. ... 0. 0. 0.],ablamo blica asociamo neamet marxismo socialismo pued blica capitalista otan euro toler nobl tulo socialmet superior jerarqu social alemania tulo sido abolido integrado apellido coto ectarea pardo jefe pagan sueldo madr asu hermana legalment inenjuici saludo abrazo fuert,0.0,0.3120255470275879,0.013768350705504417,0.14698177576065063
34,66,WGC0RtlEIUY,UCxlmYEHukoKzTZambJbxI0w,Si hay republica quiero que su presidente sea Abascal.,[0. 0. 0. ... 0. 0. 0.],republica quiero president abasc,0.0,0.015017654746770859,0.010841655544936657,0.014002783223986626
35,67,WGC0RtlEIUY,UCzzV7yHnmRQmEf5nCplUNQQ,"Considero que si comparamos la Monarquía actual con una República prefiero la República, pero si el Rey tuviese derecho a poder vetar a un presidente si este empieza a irse de control (y no porque sí) prefiero Monarquía.",[0. 0. 0. ... 0. 0. 0.],considero comparamo monarqu actual blica prefiero blica derecho poder vetar president empieza irs control prefiero monarqu,0.0,0.054839953780174255,0.010237744078040123,0.032064080238342285
36,68,WGC0RtlEIUY,UCBr7Kz4iQOKcRkz90pRRT5A,Entonces que España sea fascista,[0. 0. 0. ... 0. 0. 0.],entonc espa fascista,0.0,0.048854533582925797,0.017474155873060226,0.027556058019399643
37,72,WGC0RtlEIUY,UCftrqQ41mFXUoognZ7fgjZA,Monarquía es mejor,[0. 0. 0. ... 0. 0. 0.],monarqu mejor,0.0,0.15221737325191498,0.02371847629547119,0.07239122688770294
38,76,WGC0RtlEIUY,UC01CvkzTTdrkmLtCcmACvBw,"Yo prefiero la República, pero las cosas como son, este rey me cae muy bien, así que de momento me da igual, mientras no haya dictadura, me da igual.",[0. 0. 0. ... 0. 0. 0.],prefiero blica cosa bien momento igual mientra dictadura igual,0.0,0.11997362971305847,0.01261616125702858,0.05011984333395958
39,77,WGC0RtlEIUY,UCLxwGOrXF8VdrGM7ehBM2mA,Dónde está el debate?? No lo he visto....Es el primer debate de la historia en el que sólo hay un participante... jajajaja,[0. 0. 0. ... 0. 0. 0.],debat visto primer debat historia participant jajajaja,0.0,0.015696782618761063,0.017107568681240082,0.019666574895381927
40,78,WGC0RtlEIUY,UClhAFAuNu10_Jvi3GSfW-cg,Rumania es republica pero con casa real,[0. 0. 0. ... 0. 0. 0.],rumania republica casa real,0.0,0.04316176474094391,0.011157789267599583,0.02312963642179966
41,79,WGC0RtlEIUY,UC0HaksQ7tg83wrX4hqsY6FQ,Yo siempre República ❤️💛💜💪👏👏👏🙌🙌🙌,[0. 0. 0. ... 0. 0. 0.],siempr blica,0.0,0.06402211636304855,0.03462781757116318,0.041465237736701965
42,80,4mMkLK7khPY,UCgW7xHsCcD7fCUpo0g0OkeA,La mayoría no saben lo que quieren,[0. 0. 0. ... 0. 0. 0.],mayor saben quieren,0.0,0.093075230717659,0.015358684584498405,0.061966437846422195
43,81,4mMkLK7khPY,UCet4CrgT5eUA3zRRMIUeBpw,"El pueblo granadino es muy sabio.
Prefieren que sea todo el pueblo español el que decida sobre Monarquía o República, de manera libre y democrática ,en un referéndum.
Aunque El Gran Marqués de Croix lo dijo de manera muy clara, en el siglo XVIII: ""Los súbditos sólo han nacido para callar y para obedecer...No están para discutir los Asuntos Públicos que sólo le competen al Gran Soberano...""",[0. 0. 0. ... 0. 0. 0.],pueblo granadino sabio prefieren pueblo espa decida monarqu blica manera libr democr tica refer ndum aunqu gran marqu croix dijo manera clara siglo xviii bdito nacido callar obedec discutir asunto blico competen gran soberano,0.0,0.06730284541845322,0.007650568149983883,0.045174892991781235
44,82,4mMkLK7khPY,UCrJzPfEHQ_Sbc4SXWCFdvqA,"La monarquía es en definición España… 
El Estado surgió con la unión de dos reyes quienes delegaron un territorio unido a su hija y a sus descendientes.. Los Habsburgo y los Borbónes 
Sin monarquia lo correcto es que cada territorio pueda ser independiente ya que la corona es la unión de gran parte de la península bajo un gobernante de legítima herencia… obviamente monarcas católicos millones de españoles dieron sus vidas defendiendo la fe católica por europa pero ya los tiempos donde la iglesia tenga un peso en el estado no es necesario más que algo cultural y representativo.",[0. 0. 0. ... 0. 0. 0.],monarqu definici espa surgi rey delegaron territorio unido hija descendient habsburgo borb monarquia correcto cada territorio pueda independient corona gran part nsula bajo gobernant tima herencia obviament monarca lico millon espa ole dieron vida defendiendo lica europa tiempo iglesia peso necesario cultur representativo,0.0,0.07543881982564926,0.008991344831883907,0.045772481709718704
45,84,4mMkLK7khPY,UCN5HJttR33YtoLow6N0Ab7A,"Venga que se pongan todos los monarcas a trabajar, en el campo.",[0. 0. 0. ... 0. 0. 0.],venga pongan monarca trabajar campo,0.0,0.21190960705280304,0.02457362413406372,0.11897635459899902
46,85,4mMkLK7khPY,UCApJd3w-i1TXXJewGlxeW9g,"Manteniendo princesas y principes, que esten forrados en euros. Jijiiii.",[0. 0. 0. ... 0. 0. 0.],manteniendo princesa princip esten forrado euro jijiiii,0.0,0.08858770877122879,0.028671758249402046,0.03628037869930267
47,86,4mMkLK7khPY,UCy9zqGmAszfSbmuDtB6JAXw,MONARQUÍA??? QUE PINTAN LOS MILLONES QUE TIENEN LAS DOS NIÑAS DIABOLICAS EN EL BANCO? AHHH PERO LUEGO NO HAY PARA LAS PENSIONES OSTIA TU!,[0. 0. 0. ... 0. 0. 0.],monarqu pintan millon diabolica banco ahhh luego pension ostia,0.0,0.34668099880218506,0.022044047713279724,0.138274148106575
48,91,4mMkLK7khPY,UCns0pqXmf5l2gMDyasWzyMw,En España tenemos que dejarnos de gilipolleces. Instaurar la democracia formal y la republica constitucional.,[0. 0. 0. ... 0. 0. 0.],espa dejarno gilipollec instaurar democracia formal republica constitucion,0.0,0.05754098296165466,0.005737211089581251,0.02809670753777027
49,93,4mMkLK7khPY,UC7KX0A96GNJGGo2Lo1JK3Yw,Mejor dictadura,[0. 0. 0. ... 0. 0. 0.],mejor dictadura,0.0,0.05875422805547714,0.022255104035139084,0.03413265198469162
50,94,4mMkLK7khPY,UCLChT9MUUlDQxq6_uYksALw,"Jóvenes republicanos que no han vivido la república... Es más, no saben ni siquiera argumentar solidamente su decisión; creen que la república es güay y ""actual style""",[0. 0. 0. ... 0. 0. 0.],vene republicano vivido blica saben siquiera argumentar solidament decisi creen blica actual style,0.0,0.04389173910021782,0.014766983687877655,0.029385549947619438
51,95,4mMkLK7khPY,UCU8WAzA4OfaofVfqmE4Qo8A,🟥🟨🟪 III República ya!,[0. 0. 0. ... 0. 0. 0.],blica,0.0,0.07512133568525314,0.04698697105050087,0.07275089621543884
52,96,4mMkLK7khPY,UC6ViKRdb0RmIzpRPNbhdtLw,"España no puede vivir sin rey, la historia lo demuestra",[0. 0. 0. ... 0. 0. 0.],espa pued vivir historia demuestra,0.0,0.023536818102002144,0.0095601174980402,0.011376399546861649
53,99,4mMkLK7khPY,UCjKU_2ELBRUo0v7cwicFCSQ,Tanto dinero q se ganan por hacer nada,[0. 0. 0. ... 0. 0. 0.],dinero ganan hacer,0.0,0.06290183961391449,0.018246985971927643,0.03040052205324173
54,100,S1-wpBi4uDM,UClFN31ITI9XGmBtBTxjrJVA,Con el antiguo rey si con Felipe no,[0. 0. 0. ... 0. 0. 0.],antiguo felip,0.0,0.024086108431220055,0.01984984800219536,0.022647790610790253
55,103,S1-wpBi4uDM,UCgedAVsfxm8p2U3dhPsTVpg,Venga referéndum ya¡¡¡ la democracia es para ellos. No hay democracia si no hay referéndum. Es una dictadura sorda,[0. 0. 0. ... 0. 0. 0.],venga refer ndum democracia democracia refer ndum dictadura sorda,0.0,0.4959159791469574,0.09312912076711655,0.24886754155158997
56,106,S1-wpBi4uDM,UCgPbPNEzjRNF6vowWZQoGsQ,"En España, la minoría que reclama republica se divide en dos bandos y eso deben tenerlo claro. Hay un tipo de republica democrática como Alemania, Francia o Italia pero los comunistas que desean proclamar la republica y derrocar a nuestro Rey, lo que anhelan es una republica comunista dictatorial y no democrática.",[0. 0. 0. ... 0. 0. 0.],espa minor reclama republica divid bando deben tenerlo claro tipo republica democr tica alemania francia italia comunista desean proclamar republica derrocar anhelan republica comunista dictatori democr tica,0.0,0.25374871492385864,0.012367524206638336,0.10986427217721939
57,107,S1-wpBi4uDM,UCI7bXCc2lvMHzoc6_28zOlA,"viva el REY NO DE ESPAÑA!! POR SIEMPRE!""! SALUDOS DESDE EL VIRREINATO DEL PERU!!!... ojalá jamás nos hubiéramos separado de España. La república es una basura .. lo digo yo que vive en una",[0. 0. 0. ... 0. 0. 0.],viva espa siempr saludo virreinato peru ojal hubi ramo separado espa blica basura digo vive,0.0,0.09659620374441147,0.01704661175608635,0.05390607565641403
58,113,S1-wpBi4uDM,UCJgMPJGJ0VM77ngJZx-LO2Q,Que sale mas barata la republica😂😂😂😂😂😂(350millones se habla),[0. 0. 0. ... 0. 0. 0.],sale barata republica millon habla,0.0,0.5579622983932495,0.053055282682180405,0.2964892089366913
59,114,S1-wpBi4uDM,UCv8DpCESee5njpnnBwYvGrw,"1:00 ""La republica es mucho más barata""
- República portu: 16 millones €
- República alemana: 20 millones €
- República de francesa: 103 millones €
- República italiana: 228 millones €

- Monarquía española: 8 millones €
- Monarquía sueca: 12, 76 millones €
- Monarquía danesa: 13, 3 millones €
- Monarquía noruega: 25, 6 millones €",[0. 0. 0. ... 0. 0. 0.],republica barata blica portu millon blica alemana millon blica francesa millon blica italiana millon monarqu espa millon monarqu sueca millon monarqu danesa millon monarqu noruega millon,0.0,0.7172262668609619,0.06854020059108734,0.3269324004650116
60,115,S1-wpBi4uDM,UCTk4CfBQvT44r8mGloPTRRg,CABRONÉS,[0. 0. 0. ... 0. 0. 0.],cabron,0.0,0.05272432044148445,0.02615543082356453,0.03862188756465912
61,116,S1-wpBi4uDM,UCTk4CfBQvT44r8mGloPTRRg,VIVA MÉXICO,[0. 0. 0. ... 0. 0. 0.],viva xico,0.0,0.039697084575891495,0.024029750376939774,0.02561872825026512
